stem,root,hom,class,mode,voice,pos,modification
GAwayamAna,Gaw,,,pres,atma,,caus
GAwayitavya,Gaw,,,fut,pass,,caus
GAwayizyat,Gaw,,,fut,para,,caus
GAwayizyamAna,Gaw,,,fut,atma,,
GAwayizyamAna,Gaw,,,fut,atma,,caus
GAwitavat,Gaw,,,past,active,,caus
GAwita,Gaw,,,past,pass,,caus
GAwyamAna,Gaw,,,pres,pass,,caus
GAwya,Gaw,,,fut,pass,,caus
jaGawAna,Gaw,,,perf,atma,,
jaGawvas,Gaw,,,perf,para,,
Gawayitum,Gaw,,,,,infinitive,caus
Gawitum,Gaw,,,,,infinitive,
Gawya,Gaw,,,,,gerund,
GAwayitum,Gaw,,,,,infinitive,caus
GAwya,Gaw,,,,,gerund,caus
GawayitvA,Gaw,,,,,gerund,caus
GawitvA,Gaw,,,,,gerund,
GAwayitvA,Gaw,,,,,gerund,caus
GawwanIya,Gaww,,,fut,pass,,
Gawwayat,Gaww,,10,pres,para,,
GawwayamAna,Gaww,,10,pres,atma,,
Gawwayitavya,Gaww,,,fut,pass,,
Gawwayizyat,Gaww,,,fut,para,,
GawwayizyamAna,Gaww,,,fut,atma,,
Gawwitavat,Gaww,,,past,active,,
Gawwita,Gaww,,,past,pass,,
GawwyamAna,Gaww,,,pres,pass,,
Gawwya,Gaww,,,fut,pass,,
jaGawwAna,Gaww,,,perf,atma,,
jaGawwvas,Gaww,,,perf,para,,
Gawwayitum,Gaww,,,,,infinitive,
Gawwitum,Gaww,,,,,infinitive,
Gawwya,Gaww,,,,,gerund,
GawwayitvA,Gaww,,,,,gerund,
GawwitvA,Gaww,,,,,gerund,
garaRIya,gF,2,,fut,pass,,
garaRIya,gF,1,,fut,pass,,
garitavya,gF,2,,fut,pass,,
garitavya,gF,1,,fut,pass,,
garizyat,gF,2,,fut,para,,
garizyat,gF,1,,fut,para,,
garizyamAna,gF,2,,fut,atma,,
garizyamAna,gF,1,,fut,atma,,
garItavya,gF,2,,fut,pass,,
garItavya,gF,1,,fut,pass,,
garIzyat,gF,2,,fut,para,,
garIzyat,gF,1,,fut,para,,
garIzyamAna,gF,2,,fut,atma,,
garIzyamAna,gF,1,,fut,atma,,
gArya,gF,2,,fut,pass,,
gArya,gF,1,,fut,pass,,
girat,gF,2,6,pres,para,,
giramAna,gF,2,6,pres,atma,,
gIrRavat,gF,2,,past,active,,
gIrRa,gF,2,,past,pass,,
gIrtavat,gF,1,,past,active,,
gIrta,gF,1,,past,pass,,
gIryamAna,gF,2,,pres,pass,,
gIryamAna,gF,1,,pres,pass,,
gfRat,gF,1,9,pres,para,,
gfRAna,gF,1,9,pres,atma,,
GaraRIya,Gf,2,,fut,pass,,
Garizyat,Gf,2,,fut,para,,
GarizyamAna,Gf,2,,fut,atma,,
Gartavya,Gf,2,,fut,pass,,
GArya,Gf,2,,fut,pass,,
Gftavat,Gf,2,,past,active,,
Gfta,Gf,2,,past,pass,,
GriyamAna,Gf,2,,pres,pass,,
jagarARa,gF,2,,perf,atma,,
jagarARa,gF,1,,perf,atma,,
jagarvas,gF,2,,perf,para,,
jagarvas,gF,1,,perf,para,,
jaGfvas,Gf,2,,perf,para,,
jaGrARa,Gf,2,,perf,atma,,
jiGrat,Gf,2,3,pres,para,,
jiGrARa,Gf,2,3,pres,atma,,
Gartum,Gf,,,,,infinitive,
Gftya,Gf,,,,,gerund,
GftvA,Gf,,,,,gerund,
giritum,gF#1,,,,,infinitive,
gIrya,gF#1,,,,,gerund,
gIrtvA,gF#1,,,,,gerund,
garitum,gF#2,,,,,infinitive,
garItum,gF#2,,,,,infinitive,
gIrya,gF#2,,,,,gerund,
gIrtvA,gF#2,,,,,gerund,
gardDavya,gfD,,,fut,pass,,
garDanIya,gfD,,,fut,pass,,
gfdDavat,gfD,,,past,active,,
gfdDa,gfD,,,past,pass,,
gfDyat,gfD,,4,pres,para,,
gfDyamAna,gfD,,4,pres,atma,,
gfDyamAna,gfD,,,pres,pass,,
gfDya,gfD,,,fut,pass,,
Gartsyat,gfD,,,fut,para,,
GartsyamAna,gfD,,,fut,atma,,
jagfDAna,gfD,,,perf,atma,,
jagfDvas,gfD,,,perf,para,,
garDayitum,gfD,,,,,infinitive,caus
garDitum,gfD,,,,,infinitive,
garDya,gfD,,,,,gerund,caus
gfDya,gfD,,,,,gerund,
garDayitvA,gfD,,,,,gerund,caus
garDitvA,gfD,,,,,gerund,
gfdDvA,gfD,,,,,gerund,
Garkzyat,Gfz,2,,fut,para,,
GarkzyamAna,Gfz,2,,fut,atma,,
GarzaRIya,Gfz,2,,fut,pass,,
Garzat,Gfz,2,1,pres,para,,
GarzamAna,Gfz,2,1,pres,atma,,
Garzwavya,Gfz,2,,fut,pass,,
Gfzwavat,Gfz,2,,past,active,,
Gfzwa,Gfz,2,,past,pass,,
GfzyamAna,Gfz,2,,pres,pass,,
Gfzya,Gfz,2,,fut,pass,,
jaGfzARa,Gfz,2,,perf,atma,,
jaGfzvas,Gfz,2,,perf,para,,
Garzitum,Gfz,,,,,infinitive,
Gfzya,Gfz,,,,,gerund,
GarzitvA,Gfz,,,,,gerund,
GfzwvA,Gfz,,,,,gerund,
glapanIya,glE,,,fut,pass,,caus
glapayat,glE,,,pres,para,,caus
glapayamAna,glE,,,pres,atma,,caus
glapayitavya,glE,,,fut,pass,,caus
glapayizyat,glE,,,fut,para,,caus
glapayizyamAna,glE,,,fut,atma,,
glapayizyamAna,glE,,,fut,atma,,caus
glapitavat,glE,,,past,active,,caus
glapita,glE,,,past,pass,,caus
glapyamAna,glE,,,pres,pass,,caus
glapya,glE,,,fut,pass,,caus
glAnavat,glE,,,past,active,,
glAna,glE,,,past,pass,,
glAyat,glE,,1,pres,para,,
glAyanIya,glE,,,fut,pass,,
glAyamAna,glE,,1,pres,atma,,
glIyamAna,glE,,,pres,pass,,
glEtavya,glE,,,fut,pass,,
glEya,glE,,,fut,pass,,
glEzyat,glE,,,fut,para,,
glEzyamAna,glE,,,fut,atma,,
jaglAna,glE,,,perf,atma,,
jaglivas,glE,,,perf,para,,
glapayitum,glE,,,,,infinitive,caus
glapya,glE,,,,,gerund,caus
glAtum,glE,,,,,infinitive,
glAya,glE,,,,,gerund,
glapayitvA,glE,,,,,gerund,caus
glAtvA,glE,,,,,gerund,
gavyitum,go,,,,,infinitive,
gya,go,,,,,gerund,
gavyitvA,go,,,,,gerund,
gopAyitum,gopA,,,,,infinitive,
gopya,gopA,,,,,gerund,
gopAyitvA,gopA,,,,,gerund,
GrARIya,GrA,,,fut,pass,,
GrAtavat,GrA,,,past,active,,
GrAtavya,GrA,,,fut,pass,,
GrAta,GrA,,,past,pass,,
GrAsyat,GrA,,,fut,para,,
GrAsyamAna,GrA,,,fut,atma,,
GrIyamAna,GrA,,,pres,pass,,
Greya,GrA,,,fut,pass,,
jaGrARa,GrA,,,perf,atma,,
jaGrivas,GrA,,,perf,para,,
jiGrat,GrA,,1,pres,para,,
jiGramAna,GrA,,1,pres,atma,,
GrAtum,GrA,,,,,infinitive,
GrAya,GrA,,,,,gerund,
GrAtvA,GrA,,,,,gerund,
gfBItavat,grah,,,past,active,,
gfBIta,grah,,,past,pass,,
gfhItavat,grah,,,past,active,,
gfhIta,grah,,,past,pass,,
gfhRat,grah,,9,pres,para,,
gfhRAna,grah,,9,pres,atma,,
gfhyamAna,grah,,,pres,pass,,
grahaRIya,grah,,,fut,pass,,
grahItavya,grah,,,fut,pass,,
grahIzyat,grah,,,fut,para,,
grahIzyamAna,grah,,,fut,atma,,
grAhaRIya,grah,,,fut,pass,,caus
grAhayat,grah,,,pres,para,,caus
grAhayamAna,grah,,,pres,atma,,caus
grAhayitavya,grah,,,fut,pass,,caus
grAhayizyat,grah,,,fut,para,,caus
grAhayizyamAna,grah,,,fut,atma,,
grAhayizyamAna,grah,,,fut,atma,,caus
grAhitavat,grah,,,past,active,,caus
grAhita,grah,,,past,pass,,caus
grAhyamAna,grah,,,pres,pass,,caus
grAhya,grah,,,fut,pass,,
grAhya,grah,,,fut,pass,,caus
jagfhARa,grah,,,perf,atma,,
jagfhvas,grah,,,perf,para,,
jiGfkzaRIya,grah,,,fut,pass,,desid
jiGfkzat,grah,,,pres,para,,desid
jiGfkzitavat,grah,,,past,active,,desid
jiGfkzita,grah,,,past,pass,,desid
jijiGfkzvas,grah,,,perf,para,,desid
gfBya,grah,,,,,gerund,
gfhya,grah,,,,,gerund,
grahItum,grah,,,,,infinitive,
grAhayitum,grah,,,,,infinitive,caus
grAhya,grah,,,,,gerund,caus
jiGfkzitum,grah,,,,,infinitive,desid
jiGfkzya,grah,,,,,gerund,desid
gfBItvA,grah,,,,,gerund,
gfhItvA,grah,,,,,gerund,
grAhayitvA,grah,,,,,gerund,caus
jiGfkzitvA,grah,,,,,gerund,desid
graTya,granT,,,,,gerund,
granTitum,granT,,,,,infinitive,
granTitvA,granT,,,,,gerund,
graHsyat,gras,1,,fut,para,,
graHsyamAna,gras,1,,fut,atma,,
grasat,gras,1,1,pres,para,,
grasanIya,gras,1,,fut,pass,,
grasamAna,gras,1,1,pres,atma,,
grastavat,gras,1,,past,active,,
grastavya,gras,1,,fut,pass,,
grasta,gras,1,,past,pass,,
grasyamAna,gras,1,,pres,pass,,
grasya,gras,1,,fut,pass,,
jagrasAna,gras,1,,perf,atma,,
jagrasvas,gras,1,,perf,para,,
grasitum,gras,,,,,infinitive,
grasya,gras,,,,,gerund,
grasitvA,gras,,,,,gerund,
grastvA,gras,,,,,gerund,
guhyamAna,guh,1,,pres,pass,,
gUQavat,guh,1,,past,active,,
gUQa,guh,1,,past,pass,,
gUhat,guh,1,1,pres,para,,
gUhanIya,guh,1,,fut,pass,,caus
gUhamAna,guh,1,1,pres,atma,,
gUhayat,guh,1,,pres,para,,caus
gUhayamAna,guh,1,,pres,atma,,caus
gUhayitavya,guh,1,,fut,pass,,caus
gUhayizyat,guh,1,,fut,para,,caus
gUhayizyamAna,guh,1,,fut,atma,,
gUhayizyamAna,guh,1,,fut,atma,,caus
gUhitavat,guh,1,,past,active,,caus
gUhita,guh,1,,past,pass,,caus
gUhyamAna,guh,1,,pres,pass,,caus
gUhya,guh,1,,fut,pass,,caus
goQavya,guh,1,,fut,pass,,
gohanIya,guh,1,,fut,pass,,
gohya,guh,1,,fut,pass,,
Gokzyat,guh,1,,fut,para,,
GokzyamAna,guh,1,,fut,atma,,
juguhAna,guh,1,,perf,atma,,
juguhvas,guh,1,,perf,para,,
guhya,guh,,,,,gerund,
gUhayitum,guh,,,,,infinitive,caus
gUhitum,guh,,,,,infinitive,
gUhya,guh,,,,,gerund,caus
goQum,guh,,,,,infinitive,
gUQvA,guh,,,,,gerund,
gUhayitvA,guh,,,,,gerund,caus
gUhitvA,guh,,,,,gerund,
gumPat,gumP,,6,pres,para,,
gumPamAna,gumP,,6,pres,atma,,
gumPitavat,gumP,,,past,active,,
gumPita,gumP,,,past,pass,,
gumPyamAna,gumP,,,pres,pass,,
gompTavya,gumP,,,fut,pass,,
gomPanIya,gumP,,,fut,pass,,
gomPya,gumP,,,fut,pass,,
gomPsyat,gumP,,,fut,para,,
gomPsyamAna,gumP,,,fut,atma,,
jugumPAna,gumP,,,perf,atma,,
jugumPvas,gumP,,,perf,para,,
guPya,gumP,,,,,gerund,
gumPitum,gumP,,,,,infinitive,
gumPitvA,gumP,,,,,gerund,
gupayya,gup,,,,,gerund,
gopayitum,gup,,,,,infinitive,
jugupsitum,gup,,,,,infinitive,desid
jugupsya,gup,,,,,gerund,desid
gupayitvA,gup,,,,,gerund,
jugupsitvA,gup,,,,,gerund,desid
gurat,gur,,6,pres,para,,
guramAna,gur,,6,pres,atma,,
gurtavat,gur,,,past,active,,
gurta,gur,,,past,pass,,
guryamAna,gur,,,pres,pass,,
goraRIya,gur,,,fut,pass,,
goritavya,gur,,,fut,pass,,
gorizyat,gur,,,fut,para,,
gorizyamAna,gur,,,fut,atma,,
gorya,gur,,,fut,pass,,
jugurARa,gur,,,perf,atma,,
jugurvas,gur,,,perf,para,,
gurya,gur,,,,,gerund,
goritum,gur,,,,,infinitive,
gurtvA,gur,,,,,gerund,
GUrRat,GUrR,,1,pres,para,,
GUrRamAna,GUrR,,1,pres,atma,,
GUrRitavat,GUrR,,,past,active,,
GUrRitavya,GUrR,,,fut,pass,,
GUrRita,GUrR,,,past,pass,,
GUrRizyat,GUrR,,,fut,para,,
GUrRizyamAna,GUrR,,,fut,atma,,
GUrRyamAna,GUrR,,,pres,pass,,
GUrRya,GUrR,,,fut,pass,,
GorRanIya,GUrR,,,fut,pass,,
juGUrRAna,GUrR,,,perf,atma,,
juGUrRvas,GUrR,,,perf,para,,
GUrRitum,GUrR,,,,,infinitive,
GUrRya,GUrR,,,,,gerund,
GUrRitvA,GUrR,,,,,gerund,
guRWayitum,guRW,,,,,infinitive,caus
guRWya,guRW,,,,,gerund,caus
guRWayitvA,guRW,,,,,gerund,caus
gujyamAna,guYj,,,pres,pass,,
guYjat,guYj,,1,pres,para,,
guYjamAna,guYj,,1,pres,atma,,
guYjitavat,guYj,,,past,active,,
guYjita,guYj,,,past,pass,,
goNktavya,guYj,,,fut,pass,,
goNkzyat,guYj,,,fut,para,,
goNkzyamAna,guYj,,,fut,atma,,
goYjanIya,guYj,,,fut,pass,,
goYjya,guYj,,,fut,pass,,
juguYjAna,guYj,,,perf,atma,,
juguYjvas,guYj,,,perf,para,,
guYjitum,guYj,,,,,infinitive,
guYjya,guYj,,,,,gerund,
guYjitvA,guYj,,,,,gerund,
Guzwavat,Guz,2,,past,active,,
Guzwa,Guz,2,,past,pass,,
GuzyamAna,Guz,2,,pres,pass,,
Gokzyat,Guz,2,,fut,para,,
GokzyamAna,Guz,2,,fut,atma,,
GozaRIya,Guz,2,,fut,pass,,
GozaRIya,Guz,2,,fut,pass,,caus
Gozat,Guz,2,1,pres,para,,
GozamAna,Guz,2,1,pres,atma,,
Gozayat,Guz,2,,pres,para,,caus
GozayamAna,Guz,2,,pres,atma,,caus
Gozayitavya,Guz,2,,fut,pass,,caus
Gozayizyat,Guz,2,,fut,para,,caus
GozayizyamAna,Guz,2,,fut,atma,,
GozayizyamAna,Guz,2,,fut,atma,,caus
Gozitavat,Guz,2,,past,active,,caus
Gozitavya,Guz,2,,fut,pass,,
Gozita,Guz,2,,past,pass,,caus
Gozizyat,Guz,2,,fut,para,,
GozizyamAna,Guz,2,,fut,atma,,
Gozwavya,Guz,2,,fut,pass,,
GozyamAna,Guz,2,,pres,pass,,caus
Gozya,Guz,2,,fut,pass,,
Gozya,Guz,2,,fut,pass,,caus
juGuzARa,Guz,2,,perf,atma,,
juGuzvas,Guz,2,,perf,para,,
Guzya,Guz,,,,,gerund,
Gozayitum,Guz,,,,,infinitive,caus
Gozitum,Guz,,,,,infinitive,
Gozwum,Guz,,,,,infinitive,
Gozya,Guz,,,,,gerund,caus
GuzitvA,Guz,,,,,gerund,
GuzwvA,Guz,,,,,gerund,
GozayitvA,Guz,,,,,gerund,caus
GozitvA,Guz,,,,,gerund,
jahat,hA,3,3,pres,para,,
jahAna,hA,3,,perf,atma,,
jahitavya,hA,3,,fut,pass,,
jahivas,hA,3,,perf,para,,
jahizyat,hA,3,,fut,para,,
jihyAna,hA,3,3,pres,atma,,
hAtavat,hA,3,,past,active,,
hAtavya,hA,3,,fut,pass,,
hAta,hA,3,,past,pass,,
hAnavat,hA,3,,past,active,,
hAnavat,hA,3,,past,active,,
hAna,hA,3,,past,pass,,
hAna,hA,3,,past,pass,,
hAnIya,hA,3,,fut,pass,,
hAnIya,hA,3,,fut,pass,,
hAyamAna,hA,3,,pres,pass,,
hAsyat,hA,3,,fut,para,,
hAsyamAna,hA,3,,fut,atma,,
hInavat,hA,3,,past,active,,
hIna,hA,3,,past,pass,,
hIyamAna,hA,3,,pres,pass,,
heya,hA,3,,fut,pass,,
heya,hA,3,,fut,pass,,
jahitum,hA#1,,,,,infinitive,
hAtum,hA#1,,,,,infinitive,
hAya,hA#1,,,,,gerund,
hIya,hA#1,,,,,gerund,
hAtvA,hA#1,,,,,gerund,
hItvA,hA#1,,,,,gerund,
hAya,hA#2,,,,,gerund,
hAtvA,hA#2,,,,,gerund,
jahadAna,had,,,perf,atma,,
jahadvas,had,,,perf,para,,
hattavya,had,,,fut,pass,,
hatsyat,had,,,fut,para,,
hatsyamAna,had,,,fut,atma,,
hadat,had,,1,pres,para,,
hadanIya,had,,,fut,pass,,
hadamAna,had,,1,pres,atma,,
hadyamAna,had,,,pres,pass,,
hadya,had,,,fut,pass,,
hannavat,had,,,past,active,,
hanna,had,,,past,pass,,
hattum,had,,,,,infinitive,
hadya,had,,,,,gerund,
hattvA,had,,,,,gerund,
GAtanIya,han,1,,fut,pass,,caus
GAtayat,han,1,,pres,para,,caus
GAtayamAna,han,1,,pres,atma,,caus
GAtayitavya,han,1,,fut,pass,,caus
GAtayizyat,han,1,,fut,para,,caus
GAtayizyamAna,han,1,,fut,atma,,
GAtayizyamAna,han,1,,fut,atma,,caus
GAtitavat,han,1,,past,active,,caus
GAtita,han,1,,past,pass,,caus
GAtyamAna,han,1,,pres,pass,,caus
GAtya,han,1,,fut,pass,,caus
Gnat,han,1,2,pres,para,,
jaGnAna,han,1,,perf,atma,,
jaGnivas,han,1,,perf,para,,
jaNGAt,han,1,,pres,para,,intens
jiGAMsat,han,1,,pres,para,,desid
jiGAMsanIya,han,1,,fut,pass,,desid
jiGAMsamAna,han,1,,pres,atma,,desid
jiGAMsitavat,han,1,,past,active,,desid
jiGAMsita,han,1,,past,pass,,desid
jijiGAMsAna,han,1,,perf,atma,,desid
jijiGAMsvas,han,1,,perf,para,,desid
haMsyat,han,1,,fut,para,,
haMsyamAna,han,1,,fut,atma,,
hatavat,han,1,,past,active,,
hata,han,1,,past,pass,,
hananIya,han,1,,fut,pass,,
hanAna,han,1,2,pres,atma,,
hanizyat,han,1,,fut,para,,
hanizyamAna,han,1,,fut,atma,,
hantavya,han,1,,fut,pass,,
hanyamAna,han,1,,pres,pass,,
hanya,han,1,,fut,pass,,
GAtayitum,han#1,,,,,infinitive,caus
GAtya,han#1,,,,,gerund,caus
jiGAMsitum,han#1,,,,,infinitive,desid
jiGAMsya,han#1,,,,,gerund,desid
hatya,han#1,,,,,gerund,
hantum,han#1,,,,,infinitive,
hanya,han#1,,,,,gerund,
GAtayitvA,han#1,,,,,gerund,caus
jiGAMsitvA,han#1,,,,,gerund,desid
hatvA,han#1,,,,,gerund,
jahasAna,has,1,,perf,atma,,
jahasvas,has,1,,perf,para,,
hasat,has,1,1,pres,para,,
hasanIya,has,1,,fut,pass,,
hasamAna,has,1,1,pres,atma,,
hasitavat,has,1,,past,active,,
hasitavya,has,1,,fut,pass,,
hasita,has,1,,past,pass,,
hasizyat,has,1,,fut,para,,
hasizyamAna,has,1,,fut,atma,,
hasyamAna,has,1,,pres,pass,,
hasya,has,1,,fut,pass,,
hAsanIya,has,1,,fut,pass,,caus
hAsayat,has,1,,pres,para,,caus
hAsayamAna,has,1,,pres,atma,,caus
hAsayitavya,has,1,,fut,pass,,caus
hAsayizyat,has,1,,fut,para,,caus
hAsayizyamAna,has,1,,fut,atma,,
hAsayizyamAna,has,1,,fut,atma,,caus
hAsitavat,has,1,,past,active,,caus
hAsita,has,1,,past,pass,,caus
hAsyamAna,has,1,,pres,pass,,caus
hAsya,has,1,,fut,pass,,caus
hasitum,has,,,,,infinitive,
hasya,has,,,,,gerund,
hAsayitum,has,,,,,infinitive,caus
hAsya,has,,,,,gerund,caus
hasitvA,has,,,,,gerund,
hAsayitvA,has,,,,,gerund,caus
jahaWAna,haW,,,perf,atma,,
jahaWvas,haW,,,perf,para,,
hawWavat,haW,,,past,active,,
hawWavya,haW,,,fut,pass,,
hawWa,haW,,,past,pass,,
haWat,haW,,1,pres,para,,
haWanIya,haW,,,fut,pass,,
haWamAna,haW,,1,pres,atma,,
haWyamAna,haW,,,pres,pass,,
haWya,haW,,,fut,pass,,
haWsyat,haW,,,fut,para,,
haWsyamAna,haW,,,fut,atma,,
haWitum,haW,,,,,infinitive,
haWya,haW,,,,,gerund,
hawWvA,haW,,,,,gerund,
jahfvas,hf,1,,perf,para,,
jahrARa,hf,1,,perf,atma,,
jahrARa,hf,2,,perf,atma,,
jijihIrzvas,hf,1,,perf,para,,desid
jihIrzaRIya,hf,1,,fut,pass,,desid
jihIrzat,hf,1,,pres,para,,desid
jihIrzitavat,hf,1,,past,active,,desid
jihIrzita,hf,1,,past,pass,,desid
haraRIya,hf,1,,fut,pass,,
harat,hf,1,1,pres,para,,
haramAna,hf,1,1,pres,atma,,
harizyat,hf,1,,fut,para,,
harizyamAna,hf,1,,fut,atma,,
harizyamAna,hf,2,,fut,atma,,
hartavya,hf,1,,fut,pass,,
hAraRIya,hf,1,,fut,pass,,caus
hArayat,hf,1,,pres,para,,caus
hArayamAna,hf,1,,pres,atma,,caus
hArayitavya,hf,1,,fut,pass,,caus
hArayizyat,hf,1,,fut,para,,caus
hArayizyamAna,hf,1,,fut,atma,,
hArayizyamAna,hf,1,,fut,atma,,caus
hAritavat,hf,1,,past,active,,caus
hArita,hf,1,,past,pass,,caus
hAryamAna,hf,1,,pres,pass,,caus
hArya,hf,1,,fut,pass,,
hArya,hf,1,,fut,pass,,caus
hfRAna,hf,2,9,pres,atma,,
hftavat,hf,1,,past,active,,
hfta,hf,1,,past,pass,,
hriyamAna,hf,1,,pres,pass,,
jihIrzitum,hf#1,,,,,infinitive,desid
jihIrzya,hf#1,,,,,gerund,desid
hartum,hf#1,,,,,infinitive,
hArayitum,hf#1,,,,,infinitive,caus
hArya,hf#1,,,,,gerund,caus
hftya,hf#1,,,,,gerund,
jihIrzitvA,hf#1,,,,,gerund,desid
hArayitvA,hf#1,,,,,gerund,caus
hftvA,hf#1,,,,,gerund,
hartum,hf#2,,,,,infinitive,
jahfzARa,hfz,,,perf,atma,,
jahfzvas,hfz,,,perf,para,,
harkzyat,hfz,,,fut,para,,
harkzyamAna,hfz,,,fut,atma,,
harzaRIya,hfz,,,fut,pass,,
harzaRIya,hfz,,,fut,pass,,caus
harzat,hfz,,1,pres,para,,
harzamAna,hfz,,1,pres,atma,,
harzayat,hfz,,,pres,para,,caus
harzayamAna,hfz,,,pres,atma,,caus
harzayitavya,hfz,,,fut,pass,,caus
harzayizyat,hfz,,,fut,para,,caus
harzayizyamAna,hfz,,,fut,atma,,
harzayizyamAna,hfz,,,fut,atma,,caus
harzitavat,hfz,,,past,active,,caus
harzita,hfz,,,past,pass,,caus
harzwavya,hfz,,,fut,pass,,
harzyamAna,hfz,,,pres,pass,,caus
harzya,hfz,,,fut,pass,,caus
hfzitavat,hfz,,,past,active,,
hfzita,hfz,,,past,pass,,
hfzwavat,hfz,,,past,active,,
hfzwa,hfz,,,past,pass,,
hfzyat,hfz,,4,pres,para,,
hfzyamAna,hfz,,4,pres,atma,,
hfzyamAna,hfz,,,pres,pass,,
hfzya,hfz,,,fut,pass,,
harzayitum,hfz,,,,,infinitive,caus
harzitum,hfz,,,,,infinitive,
harzya,hfz,,,,,gerund,caus
hfzya,hfz,,,,,gerund,
harzayitvA,hfz,,,,,gerund,caus
harzitvA,hfz,,,,,gerund,
hfzwvA,hfz,,,,,gerund,
jiGivas,hi,1,,perf,para,,
jiGyAna,hi,1,,perf,atma,,
hayanIya,hi,1,,fut,pass,,
hitavat,hi,1,,past,active,,
hita,hi,1,,past,pass,,
hinvat,hi,1,5,pres,para,,
hinvAna,hi,1,5,pres,atma,,
hIyamAna,hi,1,,pres,pass,,
hetavya,hi,1,,fut,pass,,
heya,hi,1,,fut,pass,,
hezyat,hi,1,,fut,para,,
hezyamAna,hi,1,,fut,atma,,
hitya,hi#2,,,,,gerund,
hetum,hi#2,,,,,infinitive,
hitvA,hi#2,,,,,gerund,
jihikkAna,hikk,,,perf,atma,,
jihikkvas,hikk,,,perf,para,,
hikkat,hikk,,1,pres,para,,
hikkamAna,hikk,,1,pres,atma,,
hikkitavat,hikk,,,past,active,,
hikkita,hikk,,,past,pass,,
hikkyamAna,hikk,,,pres,pass,,
hekkanIya,hikk,,,fut,pass,,
hekktavya,hikk,,,fut,pass,,
hekkya,hikk,,,fut,pass,,
hekkzyat,hikk,,,fut,para,,
hekkzyamAna,hikk,,,fut,atma,,
hikkitum,hikk,,,,,infinitive,
hikkya,hikk,,,,,gerund,
hikkitvA,hikk,,,,,gerund,
jihiMzvas,hiMs,1,,perf,para,,
jihiMsAna,hiMs,1,,perf,atma,,
hiMsat,hiMs,1,7,pres,para,,
hiMsat,hiMs,1,1,pres,para,,
hiMsamAna,hiMs,1,1,pres,atma,,
hiMsAna,hiMs,1,7,pres,atma,,
hiMsitavat,hiMs,1,,past,active,,
hiMsitavya,hiMs,1,,fut,pass,,
hiMsita,hiMs,1,,past,pass,,
hiMsizyat,hiMs,1,,fut,para,,
hiMsizyamAna,hiMs,1,,fut,atma,,
hiMsyamAna,hiMs,1,,pres,pass,,
heMzya,hiMs,1,,fut,pass,,
heMsanIya,hiMs,1,,fut,pass,,
hiMzya,hiMs,,,,,gerund,
hiMsitum,hiMs,,,,,infinitive,
hiMsitvA,hiMs,,,,,gerund,
jahlAdAna,hlAd,,,perf,atma,,
jahlAdvas,hlAd,,,perf,para,,
hlAttavya,hlAd,,,fut,pass,,
hlAtsyat,hlAd,,,fut,para,,
hlAtsyamAna,hlAd,,,fut,atma,,
hlAdat,hlAd,,1,pres,para,,
hlAdanIya,hlAd,,,fut,pass,,
hlAdanIya,hlAd,,,fut,pass,,caus
hlAdamAna,hlAd,,1,pres,atma,,
hlAdayat,hlAd,,,pres,para,,caus
hlAdayamAna,hlAd,,,pres,atma,,caus
hlAdayitavya,hlAd,,,fut,pass,,caus
hlAdayizyat,hlAd,,,fut,para,,caus
hlAdayizyamAna,hlAd,,,fut,atma,,
hlAdayizyamAna,hlAd,,,fut,atma,,caus
hlAditavat,hlAd,,,past,active,,
hlAditavat,hlAd,,,past,active,,caus
hlAdita,hlAd,,,past,pass,,
hlAdita,hlAd,,,past,pass,,caus
hlAdyamAna,hlAd,,,pres,pass,,
hlAdyamAna,hlAd,,,pres,pass,,caus
hlAdya,hlAd,,,fut,pass,,
hlAdya,hlAd,,,fut,pass,,caus
hlAdayitum,hlAd,,,,,infinitive,caus
hlAditum,hlAd,,,,,infinitive,
hlAdya,hlAd,,,,,gerund,
hlAdayitvA,hlAd,,,,,gerund,caus
hlAditvA,hlAd,,,,,gerund,
juhnvAna,hnu,,,perf,atma,,
hnavanIya,hnu,,,fut,pass,,
hnuvAna,hnu,,2,pres,atma,,
hnUtavat,hnu,,,past,active,,
hnUta,hnu,,,past,pass,,
hnUyamAna,hnu,,,pres,pass,,
hnotavya,hnu,,,fut,pass,,
hnoya,hnu,,,fut,pass,,
hnozyamAna,hnu,,,fut,atma,,
hnUtya,hnu,,,,,gerund,
hnotum,hnu,,,,,infinitive,
hnUtvA,hnu,,,,,gerund,
jahrAdAna,hrAd,,,perf,atma,,
jahrAdvas,hrAd,,,perf,para,,
hrAttavya,hrAd,,,fut,pass,,
hrAtsyat,hrAd,,,fut,para,,
hrAtsyamAna,hrAd,,,fut,atma,,
hrAdat,hrAd,,1,pres,para,,
hrAdanIya,hrAd,,,fut,pass,,
hrAdanIya,hrAd,,,fut,pass,,caus
hrAdamAna,hrAd,,1,pres,atma,,
hrAdayat,hrAd,,,pres,para,,caus
hrAdayamAna,hrAd,,,pres,atma,,caus
hrAdayitavya,hrAd,,,fut,pass,,caus
hrAdayizyat,hrAd,,,fut,para,,caus
hrAdayizyamAna,hrAd,,,fut,atma,,
hrAdayizyamAna,hrAd,,,fut,atma,,caus
hrAditavat,hrAd,,,past,active,,
hrAditavat,hrAd,,,past,active,,caus
