form,root,pos,modification,,,,,,,,,
uruzwvA,uruz,gerund,,,,uruzwvA,uruz,,,,,gerund
uzasyitvA,uzas,gerund,,,,uzasyitvA,uzas,,,,,gerund
uzitvA,vas#1,gerund,,,,uzitvA,vas#1,,,,,gerund
uzitvA,vas#4,gerund,,,,uzitvA,vas#4,,,,,gerund
uzwvA,uz,gerund,,,,uzwvA,uz,,,,,gerund
uzwvA,vas#1,gerund,,,,uzwvA,vas#1,,,,,gerund
uzwvA,vas#4,gerund,,,,uzwvA,vas#4,,,,,gerund
UQvA,Uh,gerund,,,,UQvA,Uh,,,,,gerund
UQvA,vah#1,gerund,,,,UQvA,vah#1,,,,,gerund
UtvA,vA#3,gerund,,,,UtvA,vA#3,,,,,gerund
UrjayitvA,Urj#1,gerund,caus,,,UrjayitvA,Urj#1,,,,,gerund
UzmAyitvA,Uzman,gerund,,,,UzmAyitvA,Uzman,,,,,gerund
UhitvA,Uh,gerund,,,,UhitvA,Uh,,,,,gerund
ftvA,f,gerund,,,,ftvA,f,,,,,gerund
fdDvA,fD,gerund,,,,fdDvA,fD,,,,,gerund
fzwvA,fz,gerund,,,,fzwvA,fz,,,,,gerund
ejayitvA,ej,gerund,caus,,,ejayitvA,ej,,,,,gerund
ejitvA,ej,gerund,,,,ejitvA,ej,,,,,gerund
eDayitvA,eD,gerund,caus,,,eDayitvA,eD,,,,,gerund
eDitvA,eD,gerund,,,,eDitvA,eD,,,,,gerund
elayitvA,il,gerund,caus,,,elayitvA,il,,,,,gerund
ezitvA,iz#1,gerund,,,,ezitvA,iz#1,,,,,gerund
ezitvA,iz#2,gerund,,,,ezitvA,iz#2,,,,,gerund
ocitvA,uc,gerund,,,,ocitvA,uc,,,,,gerund
kaRqayitvA,kaRq,gerund,,,,kaRqayitvA,kaRq,,,,,gerund
kaRqUyitvA,kaRqu,gerund,,,,kaRqUyitvA,kaRqu,,,,,gerund
kaRvAyitvA,kaRva,gerund,,,,kaRvAyitvA,kaRva,,,,,gerund
katTitvA,katT,gerund,,,,katTitvA,katT,,,,,gerund
kaTayitvA,kaT,gerund,,,,kaTayitvA,kaT,,,,,gerund
kadarTayitvA,kadarTa,gerund,,,,kadarTayitvA,kadarTa,,,,,gerund
kampayitvA,kamp,gerund,caus,,,kampayitvA,kamp,,,,,gerund
kampitvA,kamp,gerund,,,,kampitvA,kamp,,,,,gerund
karuRAyitvA,karuRa,gerund,,,,karuRAyitvA,karuRa,,,,,gerund
karRayitvA,karRa,gerund,,,,karRayitvA,karRa,,,,,gerund
kartrIyitvA,kartf,gerund,,,,kartrIyitvA,kartf,,,,,gerund
karpitvA,kfp,gerund,,,,karpitvA,kfp,,,,,gerund
karSayitvA,kfS,gerund,caus,,,karSayitvA,kfS,,,,,gerund
karSitvA,kfS,gerund,,,,karSitvA,kfS,,,,,gerund
karzayitvA,kfz,gerund,caus,,,karzayitvA,kfz,,,,,gerund
kalaNkayitvA,kalaNka,gerund,,,,kalaNkayitvA,kalaNka,,,,,gerund
kalayitvA,kal,gerund,,,,kalayitvA,kal,,,,,gerund
kalahAyitvA,kalaha,gerund,,,,kalahAyitvA,kalaha,,,,,gerund
kaluzayitvA,kaluza,gerund,,,,kaluzayitvA,kaluza,,,,,gerund
kaluzAyitvA,kaluza,gerund,,,,kaluzAyitvA,kaluza,,,,,gerund
kalpayitvA,kxp,gerund,caus,,,kalpayitvA,kxp,,,,,gerund
kavalayitvA,kavala,gerund,,,,kavalayitvA,kavala,,,,,gerund
kavIyitvA,kavi,gerund,,,,kavIyitvA,kavi,,,,,gerund
kazitvA,kaz,gerund,,,,kazitvA,kaz,,,,,gerund
kazwAyitvA,kazwa,gerund,,,,kazwAyitvA,kazwa,,,,,gerund
kasitvA,kas,gerund,,,,kasitvA,kas,,,,,gerund
kANkzitvA,kANkz,gerund,,,,kANkzitvA,kANkz,,,,,gerund
kAmayitvA,kam,gerund,caus,,,kAmayitvA,kam,,,,,gerund
kArayitvA,kf#1,gerund,caus,,,kArayitvA,kf#1,,,,,gerund
kAlayitvA,kal,gerund,caus,,,kAlayitvA,kal,,,,,gerund
kASayitvA,kAS,gerund,caus,,,kASayitvA,kAS,,,,,gerund
kASitvA,kAS,gerund,,,,kASitvA,kAS,,,,,gerund
kAzayitvA,kaz,gerund,caus,,,kAzayitvA,kaz,,,,,gerund
kAsayitvA,kas,gerund,caus,,,kAsayitvA,kas,,,,,gerund
kIrtayitvA,kIrt,gerund,,,,kIrtayitvA,kIrt,,,,,gerund
kIrtvA,kF,gerund,,,,kIrtvA,kF,,,,,gerund
kucitvA,kuc,gerund,,,,kucitvA,kuc,,,,,gerund
kuYcayitvA,kuc,gerund,caus,,,kuYcayitvA,kuc,,,,,gerund
kuYcitvA,kuc,gerund,,,,kuYcitvA,kuc,,,,,gerund
kuwwayitvA,kuwwa,gerund,,,,kuwwayitvA,kuwwa,,,,,gerund
kuwwvA,kuw,gerund,,,,kuwwvA,kuw,,,,,gerund
kuRWitvA,kuRW,gerund,,,,kuRWitvA,kuRW,,,,,gerund
kuRqayitvA,kuRq,gerund,caus,,,kuRqayitvA,kuRq,,,,,gerund
kuRqitvA,kuRq,gerund,,,,kuRqitvA,kuRq,,,,,gerund
kutsayitvA,kuts,gerund,,,,kutsayitvA,kuts,,,,,gerund
kutsitvA,kuts,gerund,,,,kutsitvA,kuts,,,,,gerund
kunTitvA,kunT,gerund,,,,kunTitvA,kunT,,,,,gerund
kupitvA,kup,gerund,,,,kupitvA,kup,,,,,gerund
kultvA,kul,gerund,,,,kultvA,kul,,,,,gerund
kusumayitvA,kusuma,gerund,,,,kusumayitvA,kusuma,,,,,gerund
kUjitvA,kUj,gerund,,,,kUjitvA,kUj,,,,,gerund
kUtvA,kU,gerund,,,,kUtvA,kU,,,,,gerund
kfcCrAyitvA,kfcCra,gerund,,,,kfcCrAyitvA,kfcCra,,,,,gerund
kfttvA,kft#1,gerund,,,,kfttvA,kft#1,,,,,gerund
kftvA,kf#1,gerund,,,,kftvA,kf#1,,,,,gerund
kfpayitvA,kfp,gerund,caus,,,kfpayitvA,kfp,,,,,gerund
kfptvA,kfp,gerund,,,,kfptvA,kfp,,,,,gerund
kfzwvA,kfz,gerund,,,,kfzwvA,kfz,,,,,gerund
kxptvA,kxp,gerund,,,,kxptvA,kxp,,,,,gerund
kelAyitvA,kelA,gerund,,,,kelAyitvA,kelA,,,,,gerund
kocitvA,kuc,gerund,,,,kocitvA,kuc,,,,,gerund
kopitvA,kup,gerund,,,,kopitvA,kup,,,,,gerund
kranditvA,krand,gerund,,,,kranditvA,krand,,,,,gerund
kramayitvA,kram,gerund,caus,,,kramayitvA,kram,,,,,gerund
kramitvA,kram,gerund,,,,kramitvA,kram,,,,,gerund
krAntvA,kram,gerund,,,,krAntvA,kram,,,,,gerund
krApayitvA,krI,gerund,caus,,,krApayitvA,krI,,,,,gerund
krAmayitvA,kram,gerund,caus,,,krAmayitvA,kram,,,,,gerund
krIqayitvA,krIq,gerund,caus,,,krIqayitvA,krIq,,,,,gerund
krIqitvA,krIq,gerund,,,,krIqitvA,krIq,,,,,gerund
krItvA,krI,gerund,,,,krItvA,krI,,,,,gerund
kruYcitvA,kruYc#1,gerund,,,,kruYcitvA,kruYc#1,,,,,gerund
krudDvA,kruD#1,gerund,,,,krudDvA,kruD#1,,,,,gerund
kruzwvA,kruS,gerund,,,,kruzwvA,kruS,,,,,gerund
kroDayitvA,kruD#1,gerund,caus,,,kroDayitvA,kruD#1,,,,,gerund
klantvA,klam,gerund,,,,klantvA,klam,,,,,gerund
klAmayitvA,klam,gerund,caus,,,klAmayitvA,klam,,,,,gerund
klintvA,klid,gerund,,,,klintvA,klid,,,,,gerund
kliSitvA,kliS,gerund,,,,kliSitvA,kliS,,,,,gerund
klizwvA,kliS,gerund,,,,klizwvA,kliS,,,,,gerund
klIbatvA,klIba,gerund,,,,klIbatvA,klIba,,,,,gerund
klIbAyitvA,klIba,gerund,,,,klIbAyitvA,klIba,,,,,gerund
kledayitvA,klid,gerund,caus,,,kledayitvA,klid,,,,,gerund
kleSayitvA,kliS,gerund,caus,,,kleSayitvA,kliS,,,,,gerund
kleSitvA,kliS,gerund,,,,kleSitvA,kliS,,,,,gerund
kvaTitvA,kvaT,gerund,,,,kvaTitvA,kvaT,,,,,gerund
kvATayitvA,kvaT,gerund,caus,,,kvATayitvA,kvaT,,,,,gerund
kzattvA,kzad,gerund,,,,kzattvA,kzad,,,,,gerund
kzatvA,kzan,gerund,,,,kzatvA,kzan,,,,,gerund
kzanitvA,kzan,gerund,,,,kzanitvA,kzan,,,,,gerund
kzapayitvA,kzI,gerund,caus,,,kzapayitvA,kzI,,,,,gerund
kzaptvA,kzap,gerund,,,,kzaptvA,kzap,,,,,gerund
kzamayitvA,kzam,gerund,caus,,,kzamayitvA,kzam,,,,,gerund
kzamitvA,kzam,gerund,,,,kzamitvA,kzam,,,,,gerund
kzaritvA,kzar,gerund,,,,kzaritvA,kzar,,,,,gerund
kzAntvA,kzam,gerund,,,,kzAntvA,kzam,,,,,gerund
kzAmayitvA,kzam,gerund,caus,,,kzAmayitvA,kzam,,,,,gerund
kzAlayitvA,kzal,gerund,caus,,,kzAlayitvA,kzal,,,,,gerund
kziptvA,kzip,gerund,,,,kziptvA,kzip,,,,,gerund
kzItvA,kzI,gerund,,,,kzItvA,kzI,,,,,gerund
kzItvA,kzi,gerund,,,,kzItvA,kzi,,,,,gerund
kzIrasyitvA,kzIra,gerund,,,,kzIrasyitvA,kzIra,,,,,gerund
kzuttvA,kzud,gerund,,,,kzuttvA,kzud,,,,,gerund
kzutvA,kzu,gerund,,,,kzutvA,kzu,,,,,gerund
kzuDitvA,kzuD#1,gerund,,,,kzuDitvA,kzuD#1,,,,,gerund
kzubDvA,kzuB,gerund,,,,kzubDvA,kzuB,,,,,gerund
kzuBitvA,kzuB,gerund,,,,kzuBitvA,kzuB,,,,,gerund
kzepayitvA,kzip,gerund,caus,,,kzepayitvA,kzip,,,,,gerund
kzoDitvA,kzuD#1,gerund,,,,kzoDitvA,kzuD#1,,,,,gerund
kzoBayitvA,kzuB,gerund,caus,,,kzoBayitvA,kzuB,,,,,gerund
kzoBitvA,kzuB,gerund,,,,kzoBitvA,kzuB,,,,,gerund
kzveqayitvA,kzviq,gerund,caus,,,kzveqayitvA,kzviq,,,,,gerund
kzveqitvA,kzviq,gerund,,,,kzveqitvA,kzviq,,,,,gerund
KaqayitvA,Kaqa,gerund,,,,KaqayitvA,Kaqa,,,,,gerund
KaRqayitvA,KaRqa,gerund,,,,KaRqayitvA,KaRqa,,,,,gerund
KanitvA,Kan,gerund,,,,KanitvA,Kan,,,,,gerund
KAtvA,Kan,gerund,,,,KAtvA,Kan,,,,,gerund
KAditvA,KAd,gerund,,,,KAditvA,KAd,,,,,gerund
KAnayitvA,Kan,gerund,caus,,,KAnayitvA,Kan,,,,,gerund
KintvA,Kid,gerund,,,,KintvA,Kid,,,,,gerund
KedayitvA,Kid,gerund,caus,,,KedayitvA,Kid,,,,,gerund
KelayitvA,Kel,gerund,caus,,,KelayitvA,Kel,,,,,gerund
KelAyitvA,Kela,gerund,,,,KelAyitvA,Kela,,,,,gerund
KeltvA,Kel,gerund,,,,KeltvA,Kel,,,,,gerund
KyAtvA,KyA,gerund,,,,KyAtvA,KyA,,,,,gerund
KyApayitvA,KyA,gerund,caus,,,KyApayitvA,KyA,,,,,gerund
gaktvA,gaj,gerund,,,,gaktvA,gaj,,,,,gerund
gaRayitvA,gaR,gerund,,,,gaRayitvA,gaR,,,,,gerund
gatvA,gam,gerund,,,,gatvA,gam,,,,,gerund
gadayitvA,gad,gerund,caus,,,gadayitvA,gad,,,,,gerund
gaditvA,gad,gerund,,,,gaditvA,gad,,,,,gerund
gadgadyitvA,gadgada,gerund,,,,gadgadyitvA,gadgada,,,,,gerund
gamayitvA,gam,gerund,caus,,,gamayitvA,gam,,,,,gerund
garjitvA,garj,gerund,,,,garjitvA,garj,,,,,gerund
garditvA,gard,gerund,,,,garditvA,gard,,,,,gerund
garDayitvA,gfD,gerund,caus,,,garDayitvA,gfD,,,,,gerund
garDitvA,gfD,gerund,,,,garDitvA,gfD,,,,,gerund
garvayitvA,garva,gerund,,,,garvayitvA,garva,,,,,gerund
garvAyitvA,garva,gerund,,,,garvAyitvA,garva,,,,,gerund
garhayitvA,garh,gerund,,,,garhayitvA,garh,,,,,gerund
garhitvA,garh,gerund,,,,garhitvA,garh,,,,,gerund
galitvA,gal,gerund,,,,galitvA,gal,,,,,gerund
galBitvA,galB,gerund,,,,galBitvA,galB,,,,,gerund
gavezayitvA,gavez,gerund,,,,gavezayitvA,gavez,,,,,gerund
gavezwvA,gavez,gerund,,,,gavezwvA,gavez,,,,,gerund
gavyitvA,go,gerund,,,,gavyitvA,go,,,,,gerund
gAQvA,gAh,gerund,,,,gAQvA,gAh,,,,,gerund
gAlayitvA,gal,gerund,caus,,,gAlayitvA,gal,,,,,gerund
gAhitvA,gAh,gerund,,,,gAhitvA,gAh,,,,,gerund
gItvA,gA#2,gerund,,,,gItvA,gA#2,,,,,gerund
gIrtvA,gF#1,gerund,,,,gIrtvA,gF#1,,,,,gerund
gIrtvA,gF#2,gerund,,,,gIrtvA,gF#2,,,,,gerund
guYjitvA,guYj,gerund,,,,guYjitvA,guYj,,,,,gerund
guRWayitvA,guRW,gerund,caus,,,guRWayitvA,guRW,,,,,gerund
gupayitvA,gup,gerund,,,,gupayitvA,gup,,,,,gerund
gumPitvA,gumP,gerund,,,,gumPitvA,gumP,,,,,gerund
gurtvA,gur,gerund,,,,gurtvA,gur,,,,,gerund
gUQvA,guh,gerund,,,,gUQvA,guh,,,,,gerund
gUhayitvA,guh,gerund,caus,,,gUhayitvA,guh,,,,,gerund
gUhitvA,guh,gerund,,,,gUhitvA,guh,,,,,gerund
gfdDvA,gfD,gerund,,,,gfdDvA,gfD,,,,,gerund
gfBItvA,grah,gerund,,,,gfBItvA,grah,,,,,gerund
gfhItvA,grah,gerund,,,,gfhItvA,grah,,,,,gerund
gopAyitvA,gopA,gerund,,,,gopAyitvA,gopA,,,,,gerund
granTitvA,granT,gerund,,,,granTitvA,granT,,,,,gerund
grasitvA,gras,gerund,,,,grasitvA,gras,,,,,gerund
grastvA,gras,gerund,,,,grastvA,gras,,,,,gerund
grAhayitvA,grah,gerund,caus,,,grAhayitvA,grah,,,,,gerund
glapayitvA,glE,gerund,caus,,,glapayitvA,glE,,,,,gerund
glAtvA,glE,gerund,,,,glAtvA,glE,,,,,gerund
GawayitvA,Gaw,gerund,caus,,,GawayitvA,Gaw,,,,,gerund
GawitvA,Gaw,gerund,,,,GawitvA,Gaw,,,,,gerund
GawwayitvA,Gaww,gerund,,,,GawwayitvA,Gaww,,,,,gerund
GawwitvA,Gaww,gerund,,,,GawwitvA,Gaww,,,,,gerund
GarzitvA,Gfz,gerund,,,,GarzitvA,Gfz,,,,,gerund
GAwayitvA,Gaw,gerund,caus,,,GAwayitvA,Gaw,,,,,gerund
GAtayitvA,han#1,gerund,caus,,,GAtayitvA,han#1,,,,,gerund
GuzitvA,Guz,gerund,,,,GuzitvA,Guz,,,,,gerund
GuzwvA,Guz,gerund,,,,GuzwvA,Guz,,,,,gerund
GUrRitvA,GUrR,gerund,,,,GUrRitvA,GUrR,,,,,gerund
GftvA,Gf,gerund,,,,GftvA,Gf,,,,,gerund
GfzwvA,Gfz,gerund,,,,GfzwvA,Gfz,,,,,gerund
GozayitvA,Guz,gerund,caus,,,GozayitvA,Guz,,,,,gerund
GozitvA,Guz,gerund,,,,GozitvA,Guz,,,,,gerund
GrAtvA,GrA,gerund,,,,GrAtvA,GrA,,,,,gerund
cakAstvA,cakAs,gerund,,,,cakAstvA,cakAs,,,,,gerund
caYcitvA,caYc,gerund,,,,caYcitvA,caYc,,,,,gerund
cawitvA,caw,gerund,,,,cawitvA,caw,,,,,gerund
cantvA,cam,gerund,,,,cantvA,cam,,,,,gerund
canditvA,cand,gerund,,,,canditvA,cand,,,,,gerund
capayitvA,ci,gerund,caus,,,capayitvA,ci,,,,,gerund
camitvA,cam,gerund,,,,camitvA,cam,,,,,gerund
cayayitvA,ci,gerund,caus,,,cayayitvA,ci,,,,,gerund
caritvA,car,gerund,,,,caritvA,car,,,,,gerund
carcayitvA,carca,gerund,,,,carcayitvA,carca,,,,,gerund
cartvA,car,gerund,,,,cartvA,car,,,,,gerund
calitvA,cal,gerund,,,,calitvA,cal,,,,,gerund
cazwvA,cakz,gerund,,,,cazwvA,cakz,,,,,gerund
cAtayitvA,cat,gerund,caus,,,cAtayitvA,cat,,,,,gerund
cApayitvA,ci,gerund,caus,,,cApayitvA,ci,,,,,gerund
cAyayitvA,ci,gerund,caus,,,cAyayitvA,ci,,,,,gerund
cArayitvA,car,gerund,caus,,,cArayitvA,car,,,,,gerund
cAlayitvA,cal,gerund,caus,,,cAlayitvA,cal,,,,,gerund
cikitsitvA,cit#1,gerund,desid,,,cikitsitvA,cit#1,,,,,gerund
cikIrzitvA,kf#1,gerund,desid,,,cikIrzitvA,kf#1,,,,,gerund
cikIzitvA,ci,gerund,desid,,,cikIzitvA,ci,,,,,gerund
cikrIzitvA,krI,gerund,desid,,,cikrIzitvA,krI,,,,,gerund
cicIzitvA,ci,gerund,desid,,,cicIzitvA,ci,,,,,gerund
cittvA,cit#1,gerund,,,,cittvA,cit#1,,,,,gerund
citrIyitvA,citra,gerund,,,,citrIyitvA,citra,,,,,gerund
citvA,ci,gerund,,,,citvA,ci,,,,,gerund
cintayitvA,cint,gerund,,,,cintayitvA,cint,,,,,gerund
cIrtvA,car,gerund,,,,cIrtvA,car,,,,,gerund
cukzUzitvA,kzu,gerund,desid,,,cukzUzitvA,kzu,,,,,gerund
cuditvA,cud,gerund,,,,cuditvA,cud,,,,,gerund
cumbitvA,cumb,gerund,,,,cumbitvA,cumb,,,,,gerund
curayitvA,cur,gerund,,,,curayitvA,cur,,,,,gerund
cUrRayitvA,cUrRa,gerund,,,,cUrRayitvA,cUrRa,,,,,gerund
cUzwvA,cUz,gerund,,,,cUzwvA,cUz,,,,,gerund
cetayitvA,cit#1,gerund,caus,,,cetayitvA,cit#1,,,,,gerund
cezwayitvA,cezw,gerund,caus,,,cezwayitvA,cezw,,,,,gerund
cezwitvA,cezw,gerund,,,,cezwitvA,cezw,,,,,gerund
codayitvA,cud,gerund,caus,,,codayitvA,cud,,,,,gerund
coditvA,cud,gerund,,,,coditvA,cud,,,,,gerund
copayitvA,kup,gerund,caus,,,copayitvA,kup,,,,,gerund
cyutvA,cyu,gerund,,,,cyutvA,cyu,,,,,gerund
CattvA,Cad#1,gerund,,,,CattvA,Cad#1,,,,,gerund
CandayitvA,Cand,gerund,caus,,,CandayitvA,Cand,,,,,gerund
CanditvA,Cand,gerund,,,,CanditvA,Cand,,,,,gerund
CalayitvA,Cala,gerund,,,,CalayitvA,Cala,,,,,gerund
CAdayitvA,Cad#1,gerund,caus,,,CAdayitvA,Cad#1,,,,,gerund
CittvA,Cid#1,gerund,,,,CittvA,Cid#1,,,,,gerund
CidrayitvA,Cidra,gerund,,,,CidrayitvA,Cidra,,,,,gerund
CurayitvA,Cur,gerund,caus,,,CurayitvA,Cur,,,,,gerund
CedayitvA,Cid#1,gerund,caus,,,CedayitvA,Cid#1,,,,,gerund
jagDvA,jakz,gerund,,,,jagDvA,jakz,,,,,gerund
janayitvA,jan,gerund,caus,,,janayitvA,jan,,,,,gerund
jantvA,jam,gerund,,,,jantvA,jam,,,,,gerund
japtvA,jap,gerund,,,,japtvA,jap,,,,,gerund
jabDvA,jaB#1,gerund,,,,jabDvA,jaB#1,,,,,gerund
jabDvA,jaB#2,gerund,,,,jabDvA,jaB#2,,,,,gerund
jamitvA,jam,gerund,,,,jamitvA,jam,,,,,gerund
jarayitvA,jF,gerund,caus,,,jarayitvA,jF,,,,,gerund
jalAyitvA,jala,gerund,,,,jalAyitvA,jala,,,,,gerund
