form,root,hom,class,person,number,mode,voice,modification 
tolayizyete,tul,,,3,d,sfut,atma,
tolayizyeTe,tul,,,2,d,sfut,atma,
tolaye,tul,,10,1,s,pres,atma,
tolayet,tul,,10,3,s,opt,para,
tolayeta,tul,,10,3,s,opt,atma,
tolayetam,tul,,10,2,d,opt,para,
tolayetAm,tul,,10,3,d,impv,atma,
tolayete,tul,,10,3,d,pres,atma,
tolayeTAm,tul,,10,2,d,impv,atma,
tolayeTAs,tul,,10,2,s,opt,atma,
tolayeTe,tul,,10,2,d,pres,atma,
tolayeDvam,tul,,10,2,p,opt,atma,
tolayema,tul,,10,1,p,opt,para,
tolayemahi,tul,,10,1,p,opt,atma,
tolayeya,tul,,10,1,s,opt,atma,
tolayeyam,tul,,10,1,s,opt,para,
tolayeyAtAm,tul,,10,3,d,opt,atma,
tolayeyATAm,tul,,10,2,d,opt,atma,
tolayeyur,tul,,10,3,p,opt,para,
tolayeran,tul,,10,3,p,opt,atma,
tolayeva,tul,,10,1,d,opt,para,
tolayevahi,tul,,10,1,d,opt,atma,
tolayes,tul,,10,2,s,opt,para,
tolayE,tul,,10,1,s,impv,atma,
tozaya,tuz,,,2,s,impv,para,caus
tozayata,tuz,,,2,p,impv,para,caus
tozayatam,tuz,,,2,d,impv,para,caus
tozayatas,tuz,,,3,d,pres,para,caus
tozayatAm,tuz,,,3,s,impv,atma,caus
tozayati,tuz,,,3,s,pres,para,caus
tozayatu,tuz,,,3,s,impv,para,caus
tozayate,tuz,,,3,s,pres,atma,caus
tozayaTa,tuz,,,2,p,pres,para,caus
tozayaTas,tuz,,,2,d,pres,para,caus
tozayaDvam,tuz,,,2,p,impv,atma,caus
tozayaDve,tuz,,,2,p,pres,atma,caus
tozayantAm,tuz,,,3,p,impv,atma,caus
tozayanti,tuz,,,3,p,pres,para,caus
tozayantu,tuz,,,3,p,impv,para,caus
tozayante,tuz,,,3,p,pres,atma,caus
tozayasi,tuz,,,2,s,pres,para,caus
tozayase,tuz,,,2,s,pres,atma,caus
tozayasva,tuz,,,2,s,impv,atma,caus
tozayARi,tuz,,,1,s,impv,para,caus
tozayAma,tuz,,,1,p,impv,para,caus
tozayAmas,tuz,,,1,p,pres,para,caus
tozayAmahe,tuz,,,1,p,pres,atma,caus
tozayAmahE,tuz,,,1,p,impv,atma,caus
tozayAmi,tuz,,,1,s,pres,para,caus
tozayAva,tuz,,,1,d,impv,para,caus
tozayAvas,tuz,,,1,d,pres,para,caus
tozayAvahe,tuz,,,1,d,pres,atma,caus
tozayAvahE,tuz,,,1,d,impv,atma,caus
tozayitA,tuz,,,3,s,pfut,para,caus
tozayitAras,tuz,,,3,p,pfut,para,caus
tozayitArO,tuz,,,3,d,pfut,para,caus
tozayitAsi,tuz,,,2,s,pfut,para,caus
tozayitAsTa,tuz,,,2,p,pfut,para,caus
tozayitAsTas,tuz,,,2,d,pfut,para,caus
tozayitAsmas,tuz,,,1,p,pfut,para,caus
tozayitAsmi,tuz,,,1,s,pfut,para,caus
tozayitAsvas,tuz,,,1,d,pfut,para,caus
tozayizyatas,tuz,,,3,d,sfut,para,caus
tozayizyati,tuz,,,3,s,sfut,para,caus
tozayizyate,tuz,,,3,s,sfut,atma,caus
tozayizyaTa,tuz,,,2,p,sfut,para,caus
tozayizyaTas,tuz,,,2,d,sfut,para,caus
tozayizyaDve,tuz,,,2,p,sfut,atma,caus
tozayizyanti,tuz,,,3,p,sfut,para,caus
tozayizyante,tuz,,,3,p,sfut,atma,caus
tozayizyasi,tuz,,,2,s,sfut,para,caus
tozayizyase,tuz,,,2,s,sfut,atma,caus
tozayizyAmas,tuz,,,1,p,sfut,para,caus
tozayizyAmahe,tuz,,,1,p,sfut,atma,caus
tozayizyAmi,tuz,,,1,s,sfut,para,caus
tozayizyAvas,tuz,,,1,d,sfut,para,caus
tozayizyAvahe,tuz,,,1,d,sfut,atma,caus
tozayizye,tuz,,,1,s,sfut,atma,caus
tozayizyete,tuz,,,3,d,sfut,atma,caus
tozayizyeTe,tuz,,,2,d,sfut,atma,caus
tozaye,tuz,,,1,s,pres,atma,caus
tozayet,tuz,,,3,s,opt,para,caus
tozayeta,tuz,,,3,s,opt,atma,caus
tozayetam,tuz,,,2,d,opt,para,caus
tozayetAm,tuz,,,3,d,impv,atma,caus
tozayete,tuz,,,3,d,pres,atma,caus
tozayeTAm,tuz,,,2,d,impv,atma,caus
tozayeTAs,tuz,,,2,s,opt,atma,caus
tozayeTe,tuz,,,2,d,pres,atma,caus
tozayeDvam,tuz,,,2,p,opt,atma,caus
tozayema,tuz,,,1,p,opt,para,caus
tozayemahi,tuz,,,1,p,opt,atma,caus
tozayeya,tuz,,,1,s,opt,atma,caus
tozayeyam,tuz,,,1,s,opt,para,caus
tozayeyAtAm,tuz,,,3,d,opt,atma,caus
tozayeyATAm,tuz,,,2,d,opt,atma,caus
tozayeyur,tuz,,,3,p,opt,para,caus
tozayeran,tuz,,,3,p,opt,atma,caus
tozayeva,tuz,,,1,d,opt,para,caus
tozayevahi,tuz,,,1,d,opt,atma,caus
tozayes,tuz,,,2,s,opt,para,caus
tozayE,tuz,,,1,s,impv,atma,caus
tozwA,tuz,,,3,s,pfut,para,
tozwAras,tuz,,,3,p,pfut,para,
tozwArO,tuz,,,3,d,pfut,para,
tozwAsi,tuz,,,2,s,pfut,para,
tozwAsTa,tuz,,,2,p,pfut,para,
tozwAsTas,tuz,,,2,d,pfut,para,
tozwAsmas,tuz,,,1,p,pfut,para,
tozwAsmi,tuz,,,1,s,pfut,para,
tozwAsvas,tuz,,,1,d,pfut,para,
tozyatAm,tuz,,,3,s,impv,pass,caus
tozyate,tuz,,,3,s,pres,pass,caus
tozyaDvam,tuz,,,2,p,impv,pass,caus
tozyaDve,tuz,,,2,p,pres,pass,caus
tozyantAm,tuz,,,3,p,impv,pass,caus
tozyante,tuz,,,3,p,pres,pass,caus
tozyase,tuz,,,2,s,pres,pass,caus
tozyasva,tuz,,,2,s,impv,pass,caus
tozyAmahe,tuz,,,1,p,pres,pass,caus
tozyAmahE,tuz,,,1,p,impv,pass,caus
tozyAvahe,tuz,,,1,d,pres,pass,caus
tozyAvahE,tuz,,,1,d,impv,pass,caus
tozye,tuz,,,1,s,pres,pass,caus
tozyeta,tuz,,,3,s,opt,pass,caus
tozyetAm,tuz,,,3,d,impv,pass,caus
tozyete,tuz,,,3,d,pres,pass,caus
tozyeTAm,tuz,,,2,d,impv,pass,caus
tozyeTAs,tuz,,,2,s,opt,pass,caus
tozyeTe,tuz,,,2,d,pres,pass,caus
tozyeDvam,tuz,,,2,p,opt,pass,caus
tozyemahi,tuz,,,1,p,opt,pass,caus
tozyeya,tuz,,,1,s,opt,pass,caus
tozyeyAtAm,tuz,,,3,d,opt,pass,caus
tozyeyATAm,tuz,,,2,d,opt,pass,caus
tozyeran,tuz,,,3,p,opt,pass,caus
tozyevahi,tuz,,,1,d,opt,pass,caus
tozyE,tuz,,,1,s,impv,pass,caus
tyaktA,tyaj,1,,3,s,pfut,para,
tyaktAras,tyaj,1,,3,p,pfut,para,
tyaktArO,tyaj,1,,3,d,pfut,para,
tyaktAsi,tyaj,1,,2,s,pfut,para,
tyaktAsTa,tyaj,1,,2,p,pfut,para,
tyaktAsTas,tyaj,1,,2,d,pfut,para,
tyaktAsmas,tyaj,1,,1,p,pfut,para,
tyaktAsmi,tyaj,1,,1,s,pfut,para,
tyaktAsvas,tyaj,1,,1,d,pfut,para,
tyakzyatas,tyaj,1,,3,d,sfut,para,
tyakzyati,tyaj,1,,3,s,sfut,para,
tyakzyaTa,tyaj,1,,2,p,sfut,para,
tyakzyaTas,tyaj,1,,2,d,sfut,para,
tyakzyanti,tyaj,1,,3,p,sfut,para,
tyakzyasi,tyaj,1,,2,s,sfut,para,
tyakzyAmas,tyaj,1,,1,p,sfut,para,
tyakzyAmi,tyaj,1,,1,s,sfut,para,
tyakzyAvas,tyaj,1,,1,d,sfut,para,
tyaja,tyaj,1,1,2,s,impv,para,
tyajata,tyaj,1,1,2,p,impv,para,
tyajatam,tyaj,1,1,2,d,impv,para,
tyajatas,tyaj,1,1,3,d,pres,para,
tyajatAm,tyaj,1,1,3,d,impv,para,
tyajati,tyaj,1,1,3,s,pres,para,
tyajatu,tyaj,1,1,3,s,impv,para,
tyajaTa,tyaj,1,1,2,p,pres,para,
tyajaTas,tyaj,1,1,2,d,pres,para,
tyajanti,tyaj,1,1,3,p,pres,para,
tyajantu,tyaj,1,1,3,p,impv,para,
tyajasi,tyaj,1,1,2,s,pres,para,
tyajAni,tyaj,1,1,1,s,impv,para,
tyajAma,tyaj,1,1,1,p,impv,para,
tyajAmas,tyaj,1,1,1,p,pres,para,
tyajAmi,tyaj,1,1,1,s,pres,para,
tyajAva,tyaj,1,1,1,d,impv,para,
tyajAvas,tyaj,1,1,1,d,pres,para,
tyajitA,tyaj,1,,3,s,pfut,para,
tyajitAras,tyaj,1,,3,p,pfut,para,
tyajitArO,tyaj,1,,3,d,pfut,para,
tyajitAsi,tyaj,1,,2,s,pfut,para,
tyajitAsTa,tyaj,1,,2,p,pfut,para,
tyajitAsTas,tyaj,1,,2,d,pfut,para,
tyajitAsmas,tyaj,1,,1,p,pfut,para,
tyajitAsmi,tyaj,1,,1,s,pfut,para,
tyajitAsvas,tyaj,1,,1,d,pfut,para,
tyajizyatas,tyaj,1,,3,d,sfut,para,
tyajizyati,tyaj,1,,3,s,sfut,para,
tyajizyaTa,tyaj,1,,2,p,sfut,para,
tyajizyaTas,tyaj,1,,2,d,sfut,para,
tyajizyanti,tyaj,1,,3,p,sfut,para,
tyajizyasi,tyaj,1,,2,s,sfut,para,
tyajizyAmas,tyaj,1,,1,p,sfut,para,
tyajizyAmi,tyaj,1,,1,s,sfut,para,
tyajizyAvas,tyaj,1,,1,d,sfut,para,
tyajet,tyaj,1,1,3,s,opt,para,
tyajeta,tyaj,1,1,2,p,opt,para,
tyajetam,tyaj,1,1,2,d,opt,para,
tyajetAm,tyaj,1,1,3,d,opt,para,
tyajema,tyaj,1,1,1,p,opt,para,
tyajeyam,tyaj,1,1,1,s,opt,para,
tyajeyur,tyaj,1,1,3,p,opt,para,
tyajeva,tyaj,1,1,1,d,opt,para,
tyajes,tyaj,1,1,2,s,opt,para,
tyajyatAm,tyaj,1,,3,s,impv,pass,
tyajyate,tyaj,1,,3,s,pres,pass,
tyajyaDvam,tyaj,1,,2,p,impv,pass,
tyajyaDve,tyaj,1,,2,p,pres,pass,
tyajyantAm,tyaj,1,,3,p,impv,pass,
tyajyante,tyaj,1,,3,p,pres,pass,
tyajyase,tyaj,1,,2,s,pres,pass,
tyajyasva,tyaj,1,,2,s,impv,pass,
tyajyAmahe,tyaj,1,,1,p,pres,pass,
tyajyAmahE,tyaj,1,,1,p,impv,pass,
tyajyAvahe,tyaj,1,,1,d,pres,pass,
tyajyAvahE,tyaj,1,,1,d,impv,pass,
tyajye,tyaj,1,,1,s,pres,pass,
tyajyeta,tyaj,1,,3,s,opt,pass,
tyajyetAm,tyaj,1,,3,d,impv,pass,
tyajyete,tyaj,1,,3,d,pres,pass,
tyajyeTAm,tyaj,1,,2,d,impv,pass,
tyajyeTAs,tyaj,1,,2,s,opt,pass,
tyajyeTe,tyaj,1,,2,d,pres,pass,
tyajyeDvam,tyaj,1,,2,p,opt,pass,
tyajyemahi,tyaj,1,,1,p,opt,pass,
tyajyeya,tyaj,1,,1,s,opt,pass,
tyajyeyAtAm,tyaj,1,,3,d,opt,pass,
tyajyeyATAm,tyaj,1,,2,d,opt,pass,
tyajyeran,tyaj,1,,3,p,opt,pass,
tyajyevahi,tyaj,1,,1,d,opt,pass,
tyajyE,tyaj,1,,1,s,impv,pass,
tyAjaya,tyaj,1,,2,s,impv,para,caus
tyAjayata,tyaj,1,,2,p,impv,para,caus
tyAjayatam,tyaj,1,,2,d,impv,para,caus
tyAjayatas,tyaj,1,,3,d,pres,para,caus
tyAjayatAm,tyaj,1,,3,s,impv,atma,caus
tyAjayati,tyaj,1,,3,s,pres,para,caus
tyAjayatu,tyaj,1,,3,s,impv,para,caus
tyAjayate,tyaj,1,,3,s,pres,atma,caus
tyAjayaTa,tyaj,1,,2,p,pres,para,caus
tyAjayaTas,tyaj,1,,2,d,pres,para,caus
tyAjayaDvam,tyaj,1,,2,p,impv,atma,caus
tyAjayaDve,tyaj,1,,2,p,pres,atma,caus
tyAjayantAm,tyaj,1,,3,p,impv,atma,caus
tyAjayanti,tyaj,1,,3,p,pres,para,caus
tyAjayantu,tyaj,1,,3,p,impv,para,caus
tyAjayante,tyaj,1,,3,p,pres,atma,caus
tyAjayasi,tyaj,1,,2,s,pres,para,caus
tyAjayase,tyaj,1,,2,s,pres,atma,caus
tyAjayasva,tyaj,1,,2,s,impv,atma,caus
tyAjayAni,tyaj,1,,1,s,impv,para,caus
tyAjayAma,tyaj,1,,1,p,impv,para,caus
tyAjayAmas,tyaj,1,,1,p,pres,para,caus
tyAjayAmahe,tyaj,1,,1,p,pres,atma,caus
tyAjayAmahE,tyaj,1,,1,p,impv,atma,caus
tyAjayAmi,tyaj,1,,1,s,pres,para,caus
tyAjayAva,tyaj,1,,1,d,impv,para,caus
tyAjayAvas,tyaj,1,,1,d,pres,para,caus
tyAjayAvahe,tyaj,1,,1,d,pres,atma,caus
tyAjayAvahE,tyaj,1,,1,d,impv,atma,caus
tyAjayitA,tyaj,1,,3,s,pfut,para,caus
tyAjayitAras,tyaj,1,,3,p,pfut,para,caus
tyAjayitArO,tyaj,1,,3,d,pfut,para,caus
tyAjayitAsi,tyaj,1,,2,s,pfut,para,caus
tyAjayitAsTa,tyaj,1,,2,p,pfut,para,caus
tyAjayitAsTas,tyaj,1,,2,d,pfut,para,caus
tyAjayitAsmas,tyaj,1,,1,p,pfut,para,caus
tyAjayitAsmi,tyaj,1,,1,s,pfut,para,caus
tyAjayitAsvas,tyaj,1,,1,d,pfut,para,caus
tyAjayizyatas,tyaj,1,,3,d,sfut,para,caus
tyAjayizyati,tyaj,1,,3,s,sfut,para,caus
tyAjayizyate,tyaj,1,,3,s,sfut,atma,caus
tyAjayizyaTa,tyaj,1,,2,p,sfut,para,caus
tyAjayizyaTas,tyaj,1,,2,d,sfut,para,caus
tyAjayizyaDve,tyaj,1,,2,p,sfut,atma,caus
tyAjayizyanti,tyaj,1,,3,p,sfut,para,caus
tyAjayizyante,tyaj,1,,3,p,sfut,atma,caus
tyAjayizyasi,tyaj,1,,2,s,sfut,para,caus
tyAjayizyase,tyaj,1,,2,s,sfut,atma,caus
tyAjayizyAmas,tyaj,1,,1,p,sfut,para,caus
tyAjayizyAmahe,tyaj,1,,1,p,sfut,atma,caus
tyAjayizyAmi,tyaj,1,,1,s,sfut,para,caus
tyAjayizyAvas,tyaj,1,,1,d,sfut,para,caus
tyAjayizyAvahe,tyaj,1,,1,d,sfut,atma,caus
tyAjayizye,tyaj,1,,1,s,sfut,atma,caus
tyAjayizyete,tyaj,1,,3,d,sfut,atma,caus
tyAjayizyeTe,tyaj,1,,2,d,sfut,atma,caus
tyAjaye,tyaj,1,,1,s,pres,atma,caus
tyAjayet,tyaj,1,,3,s,opt,para,caus
tyAjayeta,tyaj,1,,3,s,opt,atma,caus
tyAjayetam,tyaj,1,,2,d,opt,para,caus
tyAjayetAm,tyaj,1,,3,d,impv,atma,caus
tyAjayete,tyaj,1,,3,d,pres,atma,caus
tyAjayeTAm,tyaj,1,,2,d,impv,atma,caus
tyAjayeTAs,tyaj,1,,2,s,opt,atma,caus
tyAjayeTe,tyaj,1,,2,d,pres,atma,caus
tyAjayeDvam,tyaj,1,,2,p,opt,atma,caus
tyAjayema,tyaj,1,,1,p,opt,para,caus
tyAjayemahi,tyaj,1,,1,p,opt,atma,caus
tyAjayeya,tyaj,1,,1,s,opt,atma,caus
tyAjayeyam,tyaj,1,,1,s,opt,para,caus
tyAjayeyAtAm,tyaj,1,,3,d,opt,atma,caus
tyAjayeyATAm,tyaj,1,,2,d,opt,atma,caus
tyAjayeyur,tyaj,1,,3,p,opt,para,caus
tyAjayeran,tyaj,1,,3,p,opt,atma,caus
tyAjayeva,tyaj,1,,1,d,opt,para,caus
tyAjayevahi,tyaj,1,,1,d,opt,atma,caus
tyAjayes,tyaj,1,,2,s,opt,para,caus
tyAjayE,tyaj,1,,1,s,impv,atma,caus
tyAjyatAm,tyaj,1,,3,s,impv,pass,caus
tyAjyate,tyaj,1,,3,s,pres,pass,caus
tyAjyaDvam,tyaj,1,,2,p,impv,pass,caus
tyAjyaDve,tyaj,1,,2,p,pres,pass,caus
tyAjyantAm,tyaj,1,,3,p,impv,pass,caus
tyAjyante,tyaj,1,,3,p,pres,pass,caus
tyAjyase,tyaj,1,,2,s,pres,pass,caus
tyAjyasva,tyaj,1,,2,s,impv,pass,caus
tyAjyAmahe,tyaj,1,,1,p,pres,pass,caus
tyAjyAmahE,tyaj,1,,1,p,impv,pass,caus
tyAjyAvahe,tyaj,1,,1,d,pres,pass,caus
tyAjyAvahE,tyaj,1,,1,d,impv,pass,caus
tyAjye,tyaj,1,,1,s,pres,pass,caus
tyAjyeta,tyaj,1,,3,s,opt,pass,caus
tyAjyetAm,tyaj,1,,3,d,impv,pass,caus
tyAjyete,tyaj,1,,3,d,pres,pass,caus
tyAjyeTAm,tyaj,1,,2,d,impv,pass,caus
tyAjyeTAs,tyaj,1,,2,s,opt,pass,caus
tyAjyeTe,tyaj,1,,2,d,pres,pass,caus
tyAjyeDvam,tyaj,1,,2,p,opt,pass,caus
tyAjyemahi,tyaj,1,,1,p,opt,pass,caus
tyAjyeya,tyaj,1,,1,s,opt,pass,caus
tyAjyeyAtAm,tyaj,1,,3,d,opt,pass,caus
tyAjyeyATAm,tyaj,1,,2,d,opt,pass,caus
tyAjyeran,tyaj,1,,3,p,opt,pass,caus
tyAjyevahi,tyaj,1,,1,d,opt,pass,caus
tyAjyE,tyaj,1,,1,s,impv,pass,caus
trapatAm,trap,,1,3,s,impv,atma,
trapate,trap,,1,3,s,pres,atma,
trapaDvam,trap,,1,2,p,impv,atma,
trapaDve,trap,,1,2,p,pres,atma,
trapantAm,trap,,1,3,p,impv,atma,
trapante,trap,,1,3,p,pres,atma,
trapaya,trap,,,2,s,impv,para,caus
trapayata,trap,,,2,p,impv,para,caus
trapayatam,trap,,,2,d,impv,para,caus
trapayatas,trap,,,3,d,pres,para,caus
trapayatAm,trap,,,3,s,impv,atma,caus
trapayati,trap,,,3,s,pres,para,caus
trapayatu,trap,,,3,s,impv,para,caus
trapayate,trap,,,3,s,pres,atma,caus
trapayaTa,trap,,,2,p,pres,para,caus
trapayaTas,trap,,,2,d,pres,para,caus
trapayaDvam,trap,,,2,p,impv,atma,caus
trapayaDve,trap,,,2,p,pres,atma,caus
trapayantAm,trap,,,3,p,impv,atma,caus
trapayanti,trap,,,3,p,pres,para,caus
trapayantu,trap,,,3,p,impv,para,caus
trapayante,trap,,,3,p,pres,atma,caus
trapayasi,trap,,,2,s,pres,para,caus
trapayase,trap,,,2,s,pres,atma,caus
trapayasva,trap,,,2,s,impv,atma,caus
trapayARi,trap,,,1,s,impv,para,caus
trapayAma,trap,,,1,p,impv,para,caus
trapayAmas,trap,,,1,p,pres,para,caus
trapayAmahe,trap,,,1,p,pres,atma,caus
trapayAmahE,trap,,,1,p,impv,atma,caus
trapayAmi,trap,,,1,s,pres,para,caus
trapayAva,trap,,,1,d,impv,para,caus
trapayAvas,trap,,,1,d,pres,para,caus
trapayAvahe,trap,,,1,d,pres,atma,caus
trapayAvahE,trap,,,1,d,impv,atma,caus
trapayitA,trap,,,3,s,pfut,para,caus
trapayitAras,trap,,,3,p,pfut,para,caus
trapayitArO,trap,,,3,d,pfut,para,caus
trapayitAsi,trap,,,2,s,pfut,para,caus
trapayitAsTa,trap,,,2,p,pfut,para,caus
trapayitAsTas,trap,,,2,d,pfut,para,caus
trapayitAsmas,trap,,,1,p,pfut,para,caus
trapayitAsmi,trap,,,1,s,pfut,para,caus
trapayitAsvas,trap,,,1,d,pfut,para,caus
trapayizyatas,trap,,,3,d,sfut,para,caus
trapayizyati,trap,,,3,s,sfut,para,caus
trapayizyate,trap,,,3,s,sfut,atma,caus
trapayizyaTa,trap,,,2,p,sfut,para,caus
trapayizyaTas,trap,,,2,d,sfut,para,caus
trapayizyaDve,trap,,,2,p,sfut,atma,caus
trapayizyanti,trap,,,3,p,sfut,para,caus
trapayizyante,trap,,,3,p,sfut,atma,caus
trapayizyasi,trap,,,2,s,sfut,para,caus
trapayizyase,trap,,,2,s,sfut,atma,caus
trapayizyAmas,trap,,,1,p,sfut,para,caus
trapayizyAmahe,trap,,,1,p,sfut,atma,caus
trapayizyAmi,trap,,,1,s,sfut,para,caus
trapayizyAvas,trap,,,1,d,sfut,para,caus
trapayizyAvahe,trap,,,1,d,sfut,atma,caus
trapayizye,trap,,,1,s,sfut,atma,caus
trapayizyete,trap,,,3,d,sfut,atma,caus
trapayizyeTe,trap,,,2,d,sfut,atma,caus
trapaye,trap,,,1,s,pres,atma,caus
trapayet,trap,,,3,s,opt,para,caus
trapayeta,trap,,,3,s,opt,atma,caus
trapayetam,trap,,,2,d,opt,para,caus
trapayetAm,trap,,,3,d,impv,atma,caus
trapayete,trap,,,3,d,pres,atma,caus
trapayeTAm,trap,,,2,d,impv,atma,caus
trapayeTAs,trap,,,2,s,opt,atma,caus
trapayeTe,trap,,,2,d,pres,atma,caus
trapayeDvam,trap,,,2,p,opt,atma,caus
trapayema,trap,,,1,p,opt,para,caus
trapayemahi,trap,,,1,p,opt,atma,caus
trapayeya,trap,,,1,s,opt,atma,caus
trapayeyam,trap,,,1,s,opt,para,caus
trapayeyAtAm,trap,,,3,d,opt,atma,caus
trapayeyATAm,trap,,,2,d,opt,atma,caus
trapayeyur,trap,,,3,p,opt,para,caus
trapayeran,trap,,,3,p,opt,atma,caus
trapayeva,trap,,,1,d,opt,para,caus
trapayevahi,trap,,,1,d,opt,atma,caus
trapayes,trap,,,2,s,opt,para,caus
trapayE,trap,,,1,s,impv,atma,caus
trapase,trap,,1,2,s,pres,atma,
trapasva,trap,,1,2,s,impv,atma,
trapAmahe,trap,,1,1,p,pres,atma,
trapAmahE,trap,,1,1,p,impv,atma,
trapAvahe,trap,,1,1,d,pres,atma,
trapAvahE,trap,,1,1,d,impv,atma,
trapitA,trap,,,3,s,pfut,para,
trapitAras,trap,,,3,p,pfut,para,
trapitArO,trap,,,3,d,pfut,para,
trapitAsi,trap,,,2,s,pfut,para,
trapitAsTa,trap,,,2,p,pfut,para,
trapitAsTas,trap,,,2,d,pfut,para,
trapitAsmas,trap,,,1,p,pfut,para,
trapitAsmi,trap,,,1,s,pfut,para,
trapitAsvas,trap,,,1,d,pfut,para,
trapizyate,trap,,,3,s,sfut,atma,
trapizyaDve,trap,,,2,p,sfut,atma,
trapizyante,trap,,,3,p,sfut,atma,
trapizyase,trap,,,2,s,sfut,atma,
trapizyAmahe,trap,,,1,p,sfut,atma,
trapizyAvahe,trap,,,1,d,sfut,atma,
trapizye,trap,,,1,s,sfut,atma,
trapizyete,trap,,,3,d,sfut,atma,
trapizyeTe,trap,,,2,d,sfut,atma,
trape,trap,,1,1,s,pres,atma,
trapeta,trap,,1,3,s,opt,atma,
trapetAm,trap,,1,3,d,impv,atma,
trapete,trap,,1,3,d,pres,atma,
trapeTAm,trap,,1,2,d,impv,atma,
trapeTAs,trap,,1,2,s,opt,atma,
trapeTe,trap,,1,2,d,pres,atma,
trapeDvam,trap,,1,2,p,opt,atma,
trapemahi,trap,,1,1,p,opt,atma,
trapeya,trap,,1,1,s,opt,atma,
trapeyAtAm,trap,,1,3,d,opt,atma,
trapeyATAm,trap,,1,2,d,opt,atma,
traperan,trap,,1,3,p,opt,atma,
trapevahi,trap,,1,1,d,opt,atma,
trapE,trap,,1,1,s,impv,atma,
trapyatAm,trap,,,3,s,impv,pass,
trapyate,trap,,,3,s,pres,pass,
trapyaDvam,trap,,,2,p,impv,pass,
trapyaDve,trap,,,2,p,pres,pass,
trapyantAm,trap,,,3,p,impv,pass,
trapyante,trap,,,3,p,pres,pass,
trapyase,trap,,,2,s,pres,pass,
trapyasva,trap,,,2,s,impv,pass,
trapyAmahe,trap,,,1,p,pres,pass,
trapyAmahE,trap,,,1,p,impv,pass,
trapyAvahe,trap,,,1,d,pres,pass,
trapyAvahE,trap,,,1,d,impv,pass,
trapye,trap,,,1,s,pres,pass,
trapyeta,trap,,,3,s,opt,pass,
trapyetAm,trap,,,3,d,impv,pass,
trapyete,trap,,,3,d,pres,pass,
trapyeTAm,trap,,,2,d,impv,pass,
trapyeTAs,trap,,,2,s,opt,pass,
trapyeTe,trap,,,2,d,pres,pass,
trapyeDvam,trap,,,2,p,opt,pass,
trapyemahi,trap,,,1,p,opt,pass,
trapyeya,trap,,,1,s,opt,pass,
trapyeyAtAm,trap,,,3,d,opt,pass,
trapyeyATAm,trap,,,2,d,opt,pass,
trapyeran,trap,,,3,p,opt,pass,
trapyevahi,trap,,,1,d,opt,pass,
trapyE,trap,,,1,s,impv,pass,
trasitA,tras,2,,3,s,pfut,para,
trasitAras,tras,2,,3,p,pfut,para,
trasitArO,tras,2,,3,d,pfut,para,
trasitAsi,tras,2,,2,s,pfut,para,
trasitAsTa,tras,2,,2,p,pfut,para,
trasitAsTas,tras,2,,2,d,pfut,para,
trasitAsmas,tras,2,,1,p,pfut,para,
trasitAsmi,tras,2,,1,s,pfut,para,
trasitAsvas,tras,2,,1,d,pfut,para,
trasizyatas,tras,2,,3,d,sfut,para,
trasizyati,tras,2,,3,s,sfut,para,
trasizyaTa,tras,2,,2,p,sfut,para,
trasizyaTas,tras,2,,2,d,sfut,para,
trasizyanti,tras,2,,3,p,sfut,para,
trasizyasi,tras,2,,2,s,sfut,para,
trasizyAmas,tras,2,,1,p,sfut,para,
trasizyAmi,tras,2,,1,s,sfut,para,
trasizyAvas,tras,2,,1,d,sfut,para,
trasya,tras,2,4,2,s,impv,para,
trasyata,tras,2,4,2,p,impv,para,
trasyatam,tras,2,4,2,d,impv,para,
trasyatas,tras,2,4,3,d,pres,para,
trasyatAm,tras,2,,3,s,impv,pass,
trasyati,tras,2,4,3,s,pres,para,
trasyatu,tras,2,4,3,s,impv,para,
trasyate,tras,2,,3,s,pres,pass,
trasyaTa,tras,2,4,2,p,pres,para,
trasyaTas,tras,2,4,2,d,pres,para,
trasyaDvam,tras,2,,2,p,impv,pass,
trasyaDve,tras,2,,2,p,pres,pass,
trasyantAm,tras,2,,3,p,impv,pass,
trasyanti,tras,2,4,3,p,pres,para,
trasyantu,tras,2,4,3,p,impv,para,
trasyante,tras,2,,3,p,pres,pass,
trasyasi,tras,2,4,2,s,pres,para,
trasyase,tras,2,,2,s,pres,pass,
trasyasva,tras,2,,2,s,impv,pass,
trasyAni,tras,2,4,1,s,impv,para,
trasyAma,tras,2,4,1,p,impv,para,
trasyAmas,tras,2,4,1,p,pres,para,
trasyAmahe,tras,2,,1,p,pres,pass,
trasyAmahE,tras,2,,1,p,impv,pass,
trasyAmi,tras,2,4,1,s,pres,para,
trasyAva,tras,2,4,1,d,impv,para,
trasyAvas,tras,2,4,1,d,pres,para,
trasyAvahe,tras,2,,1,d,pres,pass,
trasyAvahE,tras,2,,1,d,impv,pass,
trasye,tras,2,,1,s,pres,pass,
trasyet,tras,2,4,3,s,opt,para,
trasyeta,tras,2,,3,s,opt,pass,
trasyetam,tras,2,4,2,d,opt,para,
trasyetAm,tras,2,,3,d,impv,pass,
trasyete,tras,2,,3,d,pres,pass,
trasyeTAm,tras,2,,2,d,impv,pass,
trasyeTAs,tras,2,,2,s,opt,pass,
trasyeTe,tras,2,,2,d,pres,pass,
trasyeDvam,tras,2,,2,p,opt,pass,
