form,root,hom,pos,modification
viktvA,vic,,gerund,
viktvA,vij,1,gerund,
vittvA,vid,5,gerund,
viditvA,vid,3,gerund,
vidDvA,viD,2,gerund,
vidDvA,vyaD,,gerund,
vipitvA,vip,1,gerund,
vivakzitvA,vac,,gerund,desid
vivatsitvA,vas,5,gerund,desid
vivikzitvA,vic,,gerund,desid
vivikzitvA,viS,1,gerund,desid
vivitsitvA,vid,3,gerund,desid
vividizitvA,vid,3,gerund,desid
vizwvA,viz,1,gerund,
vizwvA,viS,1,gerund,
vIktvA,vIj,,gerund,
vItvA,vI,1,gerund,
vfktvA,vfj,1,gerund,
vfQvA,vfh,1,gerund,
vfttvA,vft,1,gerund,
vftvA,vf,2,gerund,
vftvA,vf,2,gerund,
vfdDvA,vfD,,gerund,
vfzwvA,vfz,,gerund,
vfzwvA,vraSc,,gerund,
vecayitvA,vic,,gerund,caus
vejayitvA,vij,1,gerund,caus
vedayitvA,vid,3,gerund,caus
veditvA,vid,3,gerund,
venitvA,ven,,gerund,
vepayitvA,vip,1,gerund,caus
vepitvA,vip,1,gerund,
veSayitvA,viS,1,gerund,caus
vezayitvA,viz,1,gerund,caus
vezwayitvA,vezw,,gerund,caus
vezwitvA,vezw,,gerund,
vyaTayitvA,vyaT,,gerund,caus
vyaTitvA,vyaT,,gerund,
vyADayitvA,vyaD,,gerund,caus
vrajitvA,vraj,,gerund,
vraScayitvA,vraSc,,gerund,caus
vrIqitvA,vrIq,,gerund,
SaMsayitvA,SaMs,,gerund,caus
SaMsitvA,SaMs,,gerund,
SaktvA,Sak,,gerund,
SaNkitvA,SaNk,,gerund,
SattvA,Sad,2,gerund,
SapitvA,Sap,3,gerund,
SaptvA,Sap,3,gerund,
SamayitvA,Sam,1,gerund,caus
SayitvA,SI,1,gerund,
SaltvA,Sal,1,gerund,
SasitvA,Sas,1,gerund,
SastvA,Sas,1,gerund,
SastvA,SaMs,,gerund,
SAtayitvA,Sad,2,gerund,caus
SAdayitvA,Sad,2,gerund,caus
SApayitvA,Sap,3,gerund,caus
SAyayitvA,SI,1,gerund,caus
SAsitvA,SAs,1,gerund,
SAstvA,SAs,1,gerund,
SikzitvA,Sak,,gerund,desid
SiSayizitvA,SI,1,gerund,desid
SizwvA,Siz,2,gerund,
SizwvA,SAs,1,gerund,
SIrtvA,SF,,gerund,
SIlayitvA,SIl,1,gerund,caus
SIltvA,SIl,1,gerund,
SuktvA,Suc,1,gerund,
SudDvA,SuD,,gerund,
SubDvA,SuB,1,gerund,
SumBitvA,SumB,2,gerund,
SuSrUzitvA,Sru,1,gerund,desid
SezayitvA,Siz,2,gerund,caus
SocayitvA,Suc,1,gerund,caus
SoDayitvA,SuD,,gerund,caus
SoBayitvA,SuB,1,gerund,caus
SrabDvA,SramB,,gerund,
SramitvA,Sram,1,gerund,
SramBitvA,SramB,,gerund,
SrAntvA,Sram,1,gerund,
SrAmayitvA,Sram,1,gerund,caus
SrAvayitvA,Sru,1,gerund,caus
SritvA,Sri,1,gerund,
SrutvA,Sru,1,gerund,
SlAGitvA,SlAG,,gerund,
SlizwvA,Sliz,2,gerund,
SlezayitvA,Sliz,2,gerund,caus
SvasitvA,Svas,1,gerund,
SvittvA,Svit,1,gerund,
zWIvitvA,zWIv,,gerund,
zWIvtvA,zWIv,,gerund,
saktvA,sac,1,gerund,
sajjayitvA,saYj,2,gerund,caus
saYjitvA,saYj,2,gerund,
sattvA,sad,2,gerund,
saptvA,sap,1,gerund,
sarjayitvA,sfj,1,gerund,caus
sarpayitvA,sfp,,gerund,caus
sahitvA,sah,1,gerund,
sAQvA,sah,1,gerund,
sAtvA,san,1,gerund,
sAdayitvA,sad,2,gerund,caus
sAdayitvA,svad,,gerund,caus
sADayitvA,siD,3,gerund,caus
sAnayitvA,san,1,gerund,caus
sApayitvA,sap,1,gerund,caus
sArayitvA,sf,,gerund,caus
siktvA,sic,1,gerund,
sidDvA,siD,3,gerund,
sidDvA,siD,2,gerund,
siDitvA,siD,3,gerund,
siDitvA,siD,2,gerund,
sisAnayizitvA,san,1,gerund,desid
sisfkzitvA,sfj,1,gerund,desid
sismayizitvA,smi,,gerund,desid
sutvA,su,3,gerund,
sutvA,sU,2,gerund,
suptvA,svap,1,gerund,
surtvA,sur,,gerund,
sUcayitvA,sUc,,gerund,
sUtvA,sU,2,gerund,
sftvA,sf,,gerund,
sfptvA,sfp,,gerund,
sfzwvA,sfj,1,gerund,
secayitvA,sic,1,gerund,caus
seDitvA,siD,3,gerund,
seDitvA,siD,2,gerund,
sevitvA,sev,,gerund,
soQvA,sah,1,gerund,
skanttvA,skand,,gerund,
skandayitvA,skand,,gerund,caus
skamBitvA,skamB,,gerund,
sKalayitvA,sKal,,gerund,caus
sKalitvA,sKal,,gerund,
sKAlayitvA,sKal,,gerund,caus
stanitvA,stan,,gerund,
stabDvA,stamB,,gerund,
stamBayitvA,stamB,,gerund,caus
stamBitvA,stamB,,gerund,
stAvayitvA,stu,1,gerund,caus
stIrtvA,stF,1,gerund,
stutvA,stu,1,gerund,
stubDvA,stuB,1,gerund,
stuBitvA,stuB,1,gerund,
stftvA,stF,1,gerund,
stoBitvA,stuB,1,gerund,
sTApayitvA,sTA,1,gerund,caus
sTitvA,sTA,1,gerund,
snAtvA,snA,1,gerund,
snigDvA,snih,1,gerund,
snihitvA,snih,1,gerund,
snIQvA,snih,1,gerund,
snugDvA,snuh,1,gerund,
snutvA,snu,1,gerund,
snuhitvA,snuh,1,gerund,
snUQvA,snuh,1,gerund,
snehayitvA,snih,1,gerund,caus
snehitvA,snih,1,gerund,
snohitvA,snuh,1,gerund,
spandayitvA,spand,,gerund,caus
spanditvA,spand,,gerund,
sparDitvA,sparD,,gerund,
spfzwvA,spfS,1,gerund,
spfhayitvA,spfh,1,gerund,
sPaltvA,sPal,,gerund,
sPuwitvA,sPuw,,gerund,
sPuritvA,sPur,1,gerund,
sPowitvA,sPuw,,gerund,
sPoritvA,sPur,1,gerund,
smAyayitvA,smi,,gerund,caus
smArayitvA,smf,2,gerund,caus
smitvA,smi,,gerund,
smftvA,smf,2,gerund,
syattvA,syand,,gerund,
syanttvA,syand,,gerund,
sraMsitvA,sraMs,1,gerund,
sraMstvA,sraMs,1,gerund,
srAvayitvA,sru,,gerund,caus
srutvA,sru,,gerund,
svaYjayitvA,svaYj,,gerund,caus
svaYjitvA,svaYj,,gerund,
svaditvA,svad,,gerund,
svanayitvA,svan,1,gerund,caus
svanitvA,svan,1,gerund,
svaritvA,svar,2,gerund,
svartvA,svar,2,gerund,
svAdayitvA,svad,,gerund,caus
svittvA,svid,2,gerund,
svedayitvA,svid,2,gerund,caus
hawWvA,haW,,gerund,
hattvA,had,,gerund,
hatvA,han,1,gerund,
harzayitvA,hfz,,gerund,caus
harzitvA,hfz,,gerund,
hasitvA,has,1,gerund,
hAtvA,hA,3,gerund,
hAtvA,hA,3,gerund,
hArayitvA,hf,1,gerund,caus
hAsayitvA,has,1,gerund,caus
hiMsitvA,hiMs,1,gerund,
hikkitvA,hikk,,gerund,
hitvA,hi,1,gerund,
hitvA,DA,1,gerund,
hItvA,hA,3,gerund,
huRqitvA,huRq,,gerund,
hutvA,hu,1,gerund,
hftvA,hf,1,gerund,
hfzwvA,hfz,,gerund,
hnUtvA,hnu,,gerund,
hrasitvA,hras,,gerund,
hrAdayitvA,hrAd,,gerund,caus
hrAditvA,hrAd,,gerund,
hrAsayitvA,hras,,gerund,caus
hrItvA,hrI,1,gerund,
hrepayitvA,hrI,1,gerund,caus
hlAdayitvA,hlAd,,gerund,caus
hlAditvA,hlAd,,gerund,
hvalitvA,hval,,gerund,
akzitum,akz,,infinitive,
aNktum,aYj,,infinitive,
aNgitum,aNg,,infinitive,
ajitum,aj,,infinitive,
aYcayitum,aYc,1,infinitive,caus
aYcitum,aYc,1,infinitive,
aYjayitum,aYj,,infinitive,caus
aYjitum,aYj,,infinitive,
awitum,aw,,infinitive,
atitum,at,2,infinitive,
attum,ad,1,infinitive,
anitum,an,2,infinitive,
aninizitum,an,2,infinitive,desid
aririzitum,f,4,infinitive,desid
arjayitum,fj,,infinitive,caus
arjitum,fj,,infinitive,
artum,f,4,infinitive,
arTayitum,arT,,infinitive,
arditum,ard,,infinitive,
arDayitum,fD,,infinitive,caus
arDitum,fD,,infinitive,
arpayitum,f,4,infinitive,caus
arzitum,fz,2,infinitive,
arhayitum,arh,,infinitive,caus
arhitum,arh,,infinitive,
avitum,av,,infinitive,
azwum,akz,,infinitive,
asitum,as,1,infinitive,
asitum,as,2,infinitive,
Adayitum,ad,1,infinitive,caus
Anayitum,an,2,infinitive,caus
Apayitum,Ap,1,infinitive,caus
Aptum,Ap,1,infinitive,
Avayitum,av,,infinitive,caus
Asayitum,As,2,infinitive,caus
Asayitum,as,2,infinitive,caus
Asitum,As,2,infinitive,
iNgayitum,iNg,,infinitive,caus
inditum,ind,,infinitive,
inDitum,inD,,infinitive,
ilayitum,il,,infinitive,caus
izayitum,iz,3,infinitive,caus
izayitum,iz,1,infinitive,caus
Ikzitum,Ikz,,infinitive,
INKayitum,INK,,infinitive,caus
INKitum,INK,,infinitive,
Iqitum,Iq,1,infinitive,
Ipsitum,Ap,1,infinitive,desid
Irayitum,Ir,,infinitive,caus
Iritum,Ir,,infinitive,
ISitum,IS,1,infinitive,
Izitum,Iz,1,infinitive,
Ihitum,Ih,,infinitive,
ucitum,uc,,infinitive,
ujJitum,ujJ,,infinitive,
uYCitum,uYC,,infinitive,
unditum,und,2,infinitive,
Uhitum,Uh,2,infinitive,
ejayitum,ej,,infinitive,caus
ejitum,ej,,infinitive,
etum,i,5,infinitive,
eDayitum,eD,,infinitive,caus
eDitum,eD,,infinitive,
elayitum,il,,infinitive,caus
elitum,il,,infinitive,
ezitum,iz,3,infinitive,
ezitum,iz,1,infinitive,
ezwum,iz,3,infinitive,
ozitum,uz,1,infinitive,
kaRqayitum,kaRq,,infinitive,
katTitum,katT,,infinitive,
kaTayitum,kaT,,infinitive,
kampayitum,kamp,,infinitive,caus
kampitum,kamp,,infinitive,
karitum,kF,1,infinitive,
karItum,kF,1,infinitive,
kartitum,kft,2,infinitive,
kartum,kf,1,infinitive,
karttum,kft,2,infinitive,
karpitum,kfp,2,infinitive,
karptum,kfp,2,infinitive,
karSayitum,kfS,,infinitive,caus
karSitum,kfS,,infinitive,
karzayitum,kfz,1,infinitive,caus
karzwum,kfz,1,infinitive,
kalayitum,kal,2,infinitive,
kalpayitum,kxp,,infinitive,caus
kalpitum,kxp,,infinitive,
kalptum,kxp,,infinitive,
kavitum,kU,1,infinitive,
kazitum,kaz,,infinitive,
kasitum,kas,1,infinitive,
kANkzitum,kANkz,,infinitive,
kArayitum,kf,1,infinitive,caus
kAlayitum,kal,2,infinitive,caus
kASayitum,kAS,,infinitive,caus
kASitum,kAS,,infinitive,
kAzayitum,kaz,,infinitive,caus
kAsayitum,kas,1,infinitive,caus
kIrtayitum,kIrt,,infinitive,
kuYcayitum,kuc,,infinitive,caus
kuRWitum,kuRW,,infinitive,
kuRqayitum,kuRq,,infinitive,caus
kuRqitum,kuRq,,infinitive,
kutsayitum,kuts,,infinitive,
kutsitum,kuts,,infinitive,
kunTitum,kunT,,infinitive,
kUjitum,kUj,,infinitive,
kfpayitum,kfp,2,infinitive,caus
kocitum,kuc,,infinitive,
kowitum,kuw,,infinitive,
kopitum,kup,1,infinitive,
kolitum,kul,,infinitive,
krantum,kram,,infinitive,
kranditum,krand,,infinitive,
kramayitum,kram,,infinitive,caus
kramitum,kram,,infinitive,
krazwum,kfz,1,infinitive,
krApayitum,krI,1,infinitive,caus
krAmayitum,kram,,infinitive,caus
krIqayitum,krIq,,infinitive,caus
krIqitum,krIq,,infinitive,
kruYcitum,kruYc,1,infinitive,
kretum,krI,1,infinitive,
krodDum,kruD,1,infinitive,
kroDayitum,kruD,1,infinitive,caus
krozwum,kruS,,infinitive,
klamitum,klam,,infinitive,
klAmayitum,klam,,infinitive,caus
klettum,klid,,infinitive,
kledayitum,klid,,infinitive,caus
kleditum,klid,,infinitive,
kleSayitum,kliS,,infinitive,caus
kleSitum,kliS,,infinitive,
kvaTitum,kvaT,,infinitive,
kvATayitum,kvaT,,infinitive,caus
kzaditum,kzad,1,infinitive,
kzanitum,kzan,1,infinitive,
kzantum,kzam,1,infinitive,
kzapitum,kzap,1,infinitive,
kzamayitum,kzam,1,infinitive,caus
kzamitum,kzam,1,infinitive,
kzaritum,kzar,,infinitive,
kzavitum,kzu,1,infinitive,
kzAmayitum,kzam,1,infinitive,caus
kzetum,kzi,2,infinitive,
kzepayitum,kzip,1,infinitive,caus
kzeptum,kzip,1,infinitive,
kzottum,kzud,1,infinitive,
kzodDum,kzuD,1,infinitive,
kzoBayitum,kzuB,1,infinitive,caus
kzoBitum,kzuB,1,infinitive,
kzveqayitum,kzviq,2,infinitive,caus
kzveqitum,kzviq,2,infinitive,
Kanitum,Kan,,infinitive,
KAditum,KAd,,infinitive,
KAnayitum,Kan,,infinitive,caus
Kettum,Kid,,infinitive,
Kedayitum,Kid,,infinitive,caus
Kelayitum,Kel,,infinitive,caus
Kelitum,Kel,,infinitive,
KyAtum,KyA,,infinitive,
KyApayitum,KyA,,infinitive,caus
gajitum,gaj,,infinitive,
gaRayitum,gaR,,infinitive,
gadayitum,gad,,infinitive,caus
gaditum,gad,,infinitive,
gantum,gam,1,infinitive,
gamayitum,gam,1,infinitive,caus
garitum,gF,1,infinitive,
garItum,gF,1,infinitive,
garjitum,garj,,infinitive,
garditum,gard,,infinitive,
garDayitum,gfD,,infinitive,caus
garDitum,gfD,,infinitive,
garhayitum,garh,,infinitive,
garhitum,garh,,infinitive,
galitum,gal,2,infinitive,
galBitum,galB,,infinitive,
gAtum,gA,1,infinitive,
gAlayitum,gal,2,infinitive,caus
gAhitum,gAh,,infinitive,
giritum,gF,2,infinitive,
guYjitum,guYj,,infinitive,
gumPitum,gumP,,infinitive,
gUhayitum,guh,1,infinitive,caus
gUhitum,guh,1,infinitive,
goQum,guh,1,infinitive,
goritum,gur,,infinitive,
granTitum,granT,1,infinitive,
grasitum,gras,1,infinitive,
grahItum,grah,,infinitive,
grAhayitum,grah,,infinitive,caus
glapayitum,glE,,infinitive,caus
glAtum,glE,,infinitive,
Gawayitum,Gaw,,infinitive,caus
Gawitum,Gaw,,infinitive,
Gawwayitum,Gaww,,infinitive,
Gawwitum,Gaww,,infinitive,
Gartum,Gf,2,infinitive,
Garzitum,Gfz,2,infinitive,
GAwayitum,Gaw,,infinitive,caus
GAtayitum,han,1,infinitive,caus
GUrRitum,GUrR,,infinitive,
Gozayitum,Guz,2,infinitive,caus
Gozitum,Guz,2,infinitive,
Gozwum,Guz,2,infinitive,
GrAtum,GrA,,infinitive,
cakzitum,cakz,,infinitive,
caYcitum,caYc,,infinitive,
cawitum,caw,,infinitive,
canditum,cand,,infinitive,
capayitum,ci,2,infinitive,caus
camitum,cam,,infinitive,
cayayitum,ci,2,infinitive,caus
caritum,car,,infinitive,
cartum,car,,infinitive,
calitum,cal,,infinitive,
cApayitum,ci,2,infinitive,caus
cAyayitum,ci,2,infinitive,caus
cArayitum,car,,infinitive,caus
cAlayitum,cal,,infinitive,caus
cikitsitum,cit,4,infinitive,desid
cikIrzitum,kf,1,infinitive,desid
cikIzitum,ci,2,infinitive,desid
cikrIzitum,krI,1,infinitive,desid
cicIzitum,ci,2,infinitive,desid
cintayitum,cint,,infinitive,
cukzUzitum,kzu,1,infinitive,desid
cumbitum,cumb,2,infinitive,
cUzitum,cUz,,infinitive,
cetayitum,cit,4,infinitive,caus
cetitum,cit,4,infinitive,
cetum,ci,2,infinitive,
cezwayitum,cezw,,infinitive,caus
cezwitum,cezw,,infinitive,
codayitum,cud,,infinitive,caus
copayitum,kup,1,infinitive,caus
corayitum,cur,,infinitive,
cyotum,cyu,2,infinitive,
Caditum,Cad,3,infinitive,
CAdayitum,Cad,3,infinitive,caus
Cettum,Cid,,infinitive,
Cedayitum,Cid,,infinitive,caus
jagDum,jakz,2,infinitive,
janayitum,jan,,infinitive,caus
janitum,jan,,infinitive,
japitum,jap,,infinitive,
jaBitum,jaB,2,infinitive,
jaBitum,jaB,2,infinitive,
jamitum,jam,2,infinitive,
jayitum,ji,1,infinitive,
jarayitum,jF,1,infinitive,caus
jaritum,jF,1,infinitive,
jarItum,jF,1,infinitive,
jalpitum,jalp,,infinitive,
javitum,jU,1,infinitive,
jasitum,jas,,infinitive,
jahitum,hA,3,infinitive,
jAgarayitum,jAgf,,infinitive,caus
jAgartum,jAgf,,infinitive,
jAtum,jan,,infinitive,
jApayitum,ji,1,infinitive,caus
jAsayitum,jas,,infinitive,caus
jigadizitum,gad,,infinitive,desid
jigamizitum,gam,1,infinitive,desid
jigIzitum,ji,1,infinitive,desid
jiGAMsitum,han,1,infinitive,desid
jiGfkzitum,grah,,infinitive,desid
jijIvizitum,jIv,,infinitive,desid
jijYAsitum,jYA,1,infinitive,desid
jinvitum,jinv,,infinitive,
jihIrzitum,hf,1,infinitive,desid
jIvitum,jIv,,infinitive,
juhUzitum,hu,1,infinitive,desid
jfmBitum,jfmB,,infinitive,
jetum,ji,1,infinitive,
jozayitum,juz,1,infinitive,caus
jozitum,juz,1,infinitive,
jYapayitum,jYA,1,infinitive,caus
jYAtum,jYA,1,infinitive,
jYApayitum,jYA,1,infinitive,caus
jYAptum,jYA,1,infinitive,caus
jyAtum,jyA,1,infinitive,
jyotayitum,jyut,,infinitive,caus
jyotitum,jyut,,infinitive,
jvaritum,jvar,,infinitive,
jvalayitum,jval,,infinitive,caus
jvalitum,jval,,infinitive,
qambayitum,qamb,,infinitive,
qayitum,qI,,infinitive,
takitum,tak,,infinitive,
takzitum,takz,1,infinitive,
taNktum,taYc,2,infinitive,
taYcitum,taYc,2,infinitive,
tanitum,tan,3,infinitive,
tanitum,tan,2,infinitive,
tapitum,tap,2,infinitive,
taptum,tap,2,infinitive,
tamitum,tam,,infinitive,
taritum,tF,,infinitive,
tarItum,tF,,infinitive,
tarkayitum,tark,,infinitive,
tarjayitum,tarj,,infinitive,caus
tarjitum,tarj,,infinitive,
tarditum,tfd,,infinitive,
tarpayitum,tfp,1,infinitive,caus
tarptum,tfp,1,infinitive,
tarzitum,tfz,1,infinitive,
tApayitum,tap,2,infinitive,caus
tArayitum,tF,,infinitive,caus
titikzitum,tij,,infinitive,desid
titIrzitum,tF,,infinitive,desid
tulayitum,tul,,infinitive,
tuzwUzitum,stu,1,infinitive,desid
tejayitum,tij,,infinitive,caus
tejitum,tij,,infinitive,
tottum,tud,1,infinitive,
topitum,tup,,infinitive,
tolayitum,tul,,infinitive,
tozayitum,tuz,,infinitive,caus
tozwum,tuz,,infinitive,
tyaktum,tyaj,1,infinitive,
tyajitum,tyaj,1,infinitive,
tyAjayitum,tyaj,1,infinitive,caus
trapayitum,trap,,infinitive,caus
trapitum,trap,,infinitive,
trasitum,tras,2,infinitive,
trAtum,trE,,infinitive,
trAsayitum,tras,2,infinitive,caus
trowayitum,truw,,infinitive,caus
trowitum,truw,,infinitive,
tvakzitum,tvakz,,infinitive,
tvarayitum,tvar,,infinitive,caus
tvaritum,tvar,,infinitive,
tvezwum,tviz,1,infinitive,
tsaritum,tsar,,infinitive,
daMSitum,daMS,2,infinitive,
dakzitum,dakz,,infinitive,
dagDum,dah,1,infinitive,
daGitum,daG,,infinitive,
daBitum,daB,,infinitive,
damayitum,dam,1,infinitive,caus
damitum,dam,1,infinitive,
dayitum,day,,infinitive,
daritum,dF,,infinitive,
darItum,dF,,infinitive,
darpayitum,dfp,2,infinitive,caus
darpitum,dfp,2,infinitive,
darptum,dfp,2,infinitive,
darBayitum,dfB,2,infinitive,caus
darBitum,dfB,2,infinitive,
darhitum,dfh,,infinitive,
dalitum,dal,,infinitive,
dasitum,das,,infinitive,
dahitum,dah,1,infinitive,
dAtum,dA,1,infinitive,
dAtum,dA,4,infinitive,
dAtum,dA,1,infinitive,
dApayitum,dA,1,infinitive,caus
dArayitum,dF,,infinitive,caus
dAvayitum,du,2,infinitive,caus
dASayitum,dAS,1,infinitive,caus
dASitum,dAS,1,infinitive,
dAsayitum,das,,infinitive,caus
dAhayitum,dah,1,infinitive,caus
ditsitum,dA,1,infinitive,desid
diDizitum,DA,1,infinitive,desid
dIkzayitum,dIkz,,infinitive,caus
dIkzitum,dIkz,,infinitive,
dudUzitum,du,2,infinitive,desid
dudrUzitum,dru,2,infinitive,desid
duDukzitum,duh,2,infinitive,desid
dUzayitum,duz,2,infinitive,caus
degDum,dih,1,infinitive,
dehayitum,dih,1,infinitive,caus
dogDum,duh,2,infinitive,
dotum,du,2,infinitive,
dozwum,duz,2,infinitive,
dohayitum,duh,2,infinitive,caus
dyotayitum,dyut,2,infinitive,caus
dyotitum,dyut,2,infinitive,
drAtum,drA,,infinitive,
drAtum,drA,,infinitive,
drApayitum,drA,,infinitive,caus
drArayitum,druh,1,infinitive,caus
drAvayitum,dru,2,infinitive,caus
drogDum,druh,1,infinitive,
drotum,dru,2,infinitive,
drohitum,druh,1,infinitive,
dvezwum,dviz,2,infinitive,
Dartum,Df,,infinitive,
Darzayitum,Dfz,,infinitive,caus
Darzitum,Dfz,,infinitive,
Davitum,DU,1,infinitive,
DAtum,DA,1,infinitive,
DAtum,DA,1,infinitive,
DApayitum,DA,1,infinitive,caus
DArayitum,Df,,infinitive,caus
DAritum,Df,,infinitive,caus
DAvitum,DAv,2,infinitive,
DAvitum,DAv,2,infinitive,
Ditsitum,DA,1,infinitive,desid
Dukzayitum,Dukz,,infinitive,caus
Dukzitum,Dukz,,infinitive,
DmAtum,Dam,,infinitive,
Drotum,Dru,1,infinitive,
DvaMsayitum,DvaMs,,infinitive,caus
DvaMsitum,DvaMs,,infinitive,
Dvanayitum,Dvan,2,infinitive,caus
Dvanitum,Dvan,2,infinitive,
Dvartum,Dvf,,infinitive,
DvANkzitum,DvANkz,,infinitive,
DvArayitum,Dvf,,infinitive,caus
naMzwum,naS,2,infinitive,
nadayitum,nad,,infinitive,caus
naditum,nad,,infinitive,
nadDum,nah,1,infinitive,
nantum,nam,,infinitive,
nandayitum,nand,,infinitive,caus
nanditum,nand,,infinitive,
namitum,nam,,infinitive,
nayitum,nI,2,infinitive,
nartayitum,nft,1,infinitive,caus
nartitum,nft,1,infinitive,
narttum,nft,1,infinitive,
narditum,nard,,infinitive,
navitum,nu,4,infinitive,
naSitum,naS,2,infinitive,
nazwum,naS,2,infinitive,
nATitum,nAT,,infinitive,
nAdayitum,nad,,infinitive,caus
nAmayitum,nam,,infinitive,caus
nAyayitum,nI,2,infinitive,caus
nASayitum,naS,2,infinitive,caus
niYjitum,nij,,infinitive,
ninadizitum,nad,,infinitive,desid
ninartizitum,nft,1,infinitive,desid
ninIzitum,nI,2,infinitive,desid
ninftsitum,nft,1,infinitive,desid
ninditum,nind,,infinitive,
nektum,nij,,infinitive,
nejayitum,nij,,infinitive,caus
netum,nI,2,infinitive,
nenikzitum,nij,,infinitive,desid
nottum,nud,,infinitive,
nodayitum,nud,,infinitive,caus
paktum,pac,2,infinitive,
pawitum,paw,,infinitive,
paWitum,paW,,infinitive,
paRayitum,paR,,infinitive,caus
paRitum,paR,,infinitive,
patitum,pat,2,infinitive,
paTitum,paT,,infinitive,
parcitum,pfc,1,infinitive,
partum,pf,1,infinitive,
parTayitum,pfT,2,infinitive,
parzitum,pfz,,infinitive,
pavitum,pU,1,infinitive,
pAcayitum,pac,2,infinitive,caus
pAwayitum,paw,,infinitive,caus
pAWayitum,paW,,infinitive,caus
pAtayitum,pat,2,infinitive,caus
pAtum,pA,1,infinitive,
pAtum,pA,3,infinitive,
pATayitum,paT,,infinitive,caus
pAyayitum,pA,1,infinitive,caus
pArayitum,pf,1,infinitive,caus
pArayitum,pF,,infinitive,caus
pAlayitum,pA,3,infinitive,caus
piYjitum,piYj,,infinitive,
pipakzitum,pac,2,infinitive,desid
pipaWizitum,paW,,infinitive,desid
pipatizitum,pat,2,infinitive,desid
pipAsitum,pA,1,infinitive,desid
pipAsitum,pA,3,infinitive,desid
piprIzitum,prI,1,infinitive,desid
pIqayitum,pIq,,infinitive,
pupUrzitum,pF,,infinitive,desid
pUjayitum,pUj,,infinitive,
pUyitum,pUy,,infinitive,
pUrayitum,pF,,infinitive,caus
pUritum,pF,,infinitive,
petum,pi,1,infinitive,
peSitum,piS,1,infinitive,
pezwum,piz,,infinitive,
poTayitum,puT,,infinitive,caus
poTitum,puT,,infinitive,
pozayitum,puz,2,infinitive,caus
pozwum,puz,2,infinitive,
praTayitum,praT,1,infinitive,caus
praTitum,praT,1,infinitive,
prAvayitum,pru,,infinitive,caus
prIRayitum,prI,1,infinitive,caus
pretum,prI,1,infinitive,
protum,pru,,infinitive,
plAvayitum,plu,,infinitive,caus
plotum,plu,,infinitive,
plozitum,pluz,,infinitive,
Palitum,Pal,,infinitive,
Pullitum,Pull,,infinitive,
baMhayitum,baMh,,infinitive,caus
baMhitum,baMh,,infinitive,
bandDum,banD,,infinitive,
banDayitum,banD,,infinitive,caus
banDitum,banD,,infinitive,
barhitum,bfh,1,infinitive,
barhitum,bfh,1,infinitive,
balitum,bal,2,infinitive,
bADayitum,bAD,,infinitive,caus
bADitum,bAD,,infinitive,
bIBatsitum,bAD,,infinitive,desid
buBukzitum,Buj,3,infinitive,desid
buButsitum,buD,,infinitive,desid
buBUzitum,BU,1,infinitive,desid
buBodizitum,buD,,infinitive,desid
buBoDizitum,buD,,infinitive,desid
bfMhayitum,bfh,1,infinitive,caus
bodDum,buD,,infinitive,
boDayitum,buD,,infinitive,caus
Baktum,Baj,,infinitive,
Bakzayitum,Bakz,,infinitive,caus
Bakzitum,Bakz,,infinitive,
BaNktum,BaYj,1,infinitive,
Bajitum,Baj,,infinitive,
BaYjayitum,BaYj,1,infinitive,caus
BaRitum,BaR,,infinitive,
BaRqitum,BaRq,,infinitive,
Banditum,Band,,infinitive,
Bartum,Bf,1,infinitive,
Bartsayitum,Barts,,infinitive,
Bavitum,BU,1,infinitive,
Bazwum,Baz,,infinitive,
Basitum,Bas,1,infinitive,
BAtum,BA,1,infinitive,
BAyayitum,BI,1,infinitive,caus
BArayitum,Bf,1,infinitive,caus
BAvayitum,BU,1,infinitive,caus
BAvitum,BU,1,infinitive,caus
BAzitum,BAz,1,infinitive,
BAzwum,BAz,1,infinitive,
BAsayitum,BAs,1,infinitive,caus
BAsitum,BAs,1,infinitive,
Bikzitum,Baj,,infinitive,desid
BIzayitum,BI,1,infinitive,caus
BuYjApayitum,Buj,3,infinitive,caus
BUzayitum,BUz,,infinitive,caus
BUzitum,BUz,,infinitive,
Betum,BI,1,infinitive,
Bettum,Bid,1,infinitive,
Bedayitum,Bid,1,infinitive,caus
Boktum,Buj,3,infinitive,
Boktum,Buj,3,infinitive,
Bojayitum,Buj,3,infinitive,caus
BraMSayitum,BraMS,,infinitive,caus
BraMSitum,BraMS,,infinitive,
Bramitum,Bram,,infinitive,
BrAjayitum,BrAj,1,infinitive,caus
BrAjitum,BrAj,1,infinitive,
BrAmayitum,Bram,,infinitive,caus
maMhayitum,maMh,,infinitive,caus
maMhitum,maMh,,infinitive,
maNktum,majj,,infinitive,
majjayitum,majj,,infinitive,caus
majjitum,majj,,infinitive,
maRqayitum,maRq,,infinitive,caus
maRqitum,maRq,,infinitive,
madayitum,mad,2,infinitive,caus
maditum,mad,2,infinitive,
manitum,man,,infinitive,
mantum,man,,infinitive,
manTitum,manT,1,infinitive,
mandayitum,mand,1,infinitive,caus
manditum,mand,1,infinitive,
marqitum,mfq,,infinitive,
mardayitum,mfd,1,infinitive,caus
marditum,mfd,1,infinitive,
marDitum,mfD,1,infinitive,
marSayitum,mfS,1,infinitive,caus
